id,values,gender,year,data_title
9999144301150,25.26,,2015,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
9999144301160,27.98,,2016,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
9999144301170,29.93,,2017,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
9999144301180,30.19,,2018,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
9999144301190,30.28,,2019,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
9999144301200,30.85,,2020,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
9999144301210,31.19,,2021,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1100144301150,41.67,,2015,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1100144301160,42.06,,2016,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1100144301170,45.73,,2017,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1100144301180,43.86,,2018,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1100144301190,44.51,,2019,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1100144301200,44.58,,2020,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1100144301210,44.65,,2021,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1200144301150,25.89,,2015,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1200144301160,28.93,,2016,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1200144301170,30.71,,2017,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1200144301180,31.11,,2018,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1200144301190,30.82,,2019,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1200144301200,31.14,,2020,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1200144301210,31.1,,2021,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1300144301150,38.51,,2015,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1300144301160,40.54,,2016,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1300144301170,43.53,,2017,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1300144301180,44.19,,2018,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1300144301190,42.18,,2019,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1300144301200,43.09,,2020,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1300144301210,44.25,,2021,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1400144301150,30.0,,2015,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1400144301160,29.81,,2016,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1400144301170,33.37,,2017,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1400144301180,34.15,,2018,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1400144301190,33.93,,2019,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1400144301200,35.07,,2020,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1400144301210,35.97,,2021,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
1500144301150,26.33,,2015,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
