id,values,breakdown,year,data_title
4179701160,77.77,SMK,,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
4179701170,91.97,SMK,,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
4179701180,92.21,SMK,,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
1179701160,68.15,SD,,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
1179701170,86.79,SD,,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
1179701180,87.11,SD,,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
2179701160,69.75,SMP,,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
2179701170,86.74,SMP,,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
2179701180,87.04,SMP,,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
3179701160,73.97,SMA,,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
3179701170,89.51,SMA,,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
3179701180,89.85,SMA,,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
