id,values,gender,year,data_title
1134301150,59.74,Perkotaan,2015,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
1134301160,62.44,Perkotaan,2016,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
1134301170,65.82,Perkotaan,2017,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
1134301180,62.87,Perkotaan,2018,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
1134301190,71.35,Perkotaan,2019,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
1134301200,71.35,Perkotaan,2020,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
1134301210,73.21,Perkotaan,2021,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
2134301150,71.39,Perdesaan,2015,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
2134301160,75.46,Perdesaan,2016,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
2134301170,77.07,Perdesaan,2017,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
2134301180,76.0,Perdesaan,2018,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
2134301190,80.41,Perdesaan,2019,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
2134301200,80.87,Perdesaan,2020,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
2134301210,80.21,Perdesaan,2021,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
3134301150,78.66,Perkotaan + Perdesaan,2015,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
3134301160,81.41,Perkotaan + Perdesaan,2016,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
3134301170,86.67,Perkotaan + Perdesaan,2017,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
3134301180,84.48,Perkotaan + Perdesaan,2018,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
3134301190,85.69,Perkotaan + Perdesaan,2019,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
3134301200,87.3,Perkotaan + Perdesaan,2020,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
3134301210,86.65,Perkotaan + Perdesaan,2021,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
4134301150,87.66,,2015,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
4134301160,91.68,,2016,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
4134301170,89.6,,2017,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
4134301180,86.22,,2018,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
4134301190,89.53,,2019,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
4134301200,90.31,,2020,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
4134301210,90.73,,2021,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
5134301150,92.82,,2015,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
5134301160,94.44,,2016,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
5134301170,94.27,,2017,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
5134301180,94.26,,2018,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
5134301190,92.72,,2019,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
5134301200,92.96,,2020,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
5134301210,96.74,,2021,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Kelompok Pendapatan
