id,values,jenjang,akreditasi,data_title
1142111651150,26603,SD,A,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
1142111661150,63528,SD,B,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
1142111671150,14148,SD,C,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
1142111681150,1535,SD,TT,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
2142111651150,2933,MI,A,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
2142111661150,7467,MI,B,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
2142111671150,1706,MI,C,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
2142111681150,137,MI,TT,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
3142111651150,8316,SMP,A,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
3142111661150,8859,SMP,B,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
3142111671150,3081,SMP,C,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
3142111681150,298,SMP,TT,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
4142111651150,1580,MTS,A,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
4142111661150,3837,MTS,B,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
4142111671150,1428,MTS,C,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
4142111681150,87,MTS,TT,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
5142111651150,3482,SMA,A,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
5142111661150,2556,SMA,B,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
5142111671150,833,SMA,C,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
5142111681150,97,SMA,TT,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
6142111651150,787,MA,A,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
6142111661150,1540,MA,B,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
6142111671150,642,MA,C,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
6142111681150,64,MA,TT,Hasil Akreditasi Menurut Jenjang Sekolah dan Peringkat Akreditasi
