id,values,daerah,tahun,data_title
1143001110,9.14,Perkotaan,2011,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
1143001120,9.32,Perkotaan,2012,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
1143001130,9.33,Perkotaan,2013,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
1143001140,9.46,Perkotaan,2014,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
1143001150,9.61,Perkotaan,2015,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
1143001160,9.56,Perkotaan,2016,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
1143001170,9.53,Perkotaan,2017,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
1143001180,9.62,Perkotaan,2018,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
1143001190,9.73,Perkotaan,2019,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
1143001200,9.85,Perkotaan,2020,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
1143001210,9.91,Perkotaan,2021,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
1143001220,9.95,Perkotaan,2022,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
2143001110,6.52,Perdesaan,2011,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
2143001120,6.7,Perdesaan,2012,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
2143001130,6.81,Perdesaan,2013,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
2143001140,6.94,Perdesaan,2014,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
2143001150,6.98,Perdesaan,2015,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
2143001160,7.18,Perdesaan,2016,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
2143001170,7.3,Perdesaan,2017,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
2143001180,7.28,Perdesaan,2018,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
2143001190,7.48,Perdesaan,2019,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
2143001200,7.66,Perdesaan,2020,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
2143001210,7.7,Perdesaan,2021,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
2143001220,7.88,Perdesaan,2022,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
3143001200,8.9,Perkotaan + Perdesaan,2020,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
3143001210,8.97,Perkotaan + Perdesaan,2021,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
3143001220,9.08,Perkotaan + Perdesaan,2022,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Daerah Tempat Tinggal
