id,values,area,jenjang,tahun,data_title
9999145511691150,100.33,INDONESIA,SD/MI/SEDERAJAT,2015,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511691160,99.7,INDONESIA,SD/MI/SEDERAJAT,2016,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511691170,99.69,INDONESIA,SD/MI/SEDERAJAT,2017,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511691180,99.57,INDONESIA,SD/MI/SEDERAJAT,2018,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511691190,100.02,INDONESIA,SD/MI/SEDERAJAT,2019,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511691200,99.98,INDONESIA,SD/MI/SEDERAJAT,2020,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511691210,99.98,INDONESIA,SD/MI/SEDERAJAT,2021,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511691220,100.01,INDONESIA,SD/MI/SEDERAJAT,2022,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511701150,104.45,INDONESIA,SMP/MTS/SEDERAJAT,2015,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511701160,104.89,INDONESIA,SMP/MTS/SEDERAJAT,2016,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511701170,102.35,INDONESIA,SMP/MTS/SEDERAJAT,2017,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511701180,101.76,INDONESIA,SMP/MTS/SEDERAJAT,2018,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511701190,101.39,INDONESIA,SMP/MTS/SEDERAJAT,2019,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511701200,100.41,INDONESIA,SMP/MTS/SEDERAJAT,2020,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511701210,100.34,INDONESIA,SMP/MTS/SEDERAJAT,2021,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511701220,101.89,INDONESIA,SMP/MTS/SEDERAJAT,2022,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511711150,103.45,INDONESIA,SMA/SMK/MA/SEDERAJAT,2015,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511711160,105.54,INDONESIA,SMA/SMK/MA/SEDERAJAT,2016,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511711170,102.64,INDONESIA,SMA/SMK/MA/SEDERAJAT,2017,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511711180,103.19,INDONESIA,SMA/SMK/MA/SEDERAJAT,2018,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511711190,105.01,INDONESIA,SMA/SMK/MA/SEDERAJAT,2019,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511711200,102.58,INDONESIA,SMA/SMK/MA/SEDERAJAT,2020,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511711210,102.09,INDONESIA,SMA/SMK/MA/SEDERAJAT,2021,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511711220,105.7,INDONESIA,SMA/SMK/MA/SEDERAJAT,2022,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
9999145511721210,120.47,INDONESIA,PERGURUAN TINGGI,2021,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Provinsi
