id,values,provinsi,tahun,data_title
1146301150,99.95,Perkotaan,2015,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
1146301160,99.92,Perkotaan,2016,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
1146301170,99.91,Perkotaan,2017,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
1146301180,99.93,Perkotaan,2018,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
1146301190,99.95,Perkotaan,2019,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
1146301200,99.95,Perkotaan,2020,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
1146301210,99.95,Perkotaan,2021,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
1146301220,99.95,Perkotaan,2022,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
2146301150,99.36,Perdesaan,2015,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
2146301160,99.37,Perdesaan,2016,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
2146301170,99.36,Perdesaan,2017,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
2146301180,99.42,Perdesaan,2018,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
2146301190,99.52,Perdesaan,2019,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
2146301200,99.55,Perdesaan,2020,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
2146301210,99.53,Perdesaan,2021,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
2146301220,99.6,Perdesaan,2022,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
3146301150,99.67,Perkotaan+Perdesaan,2015,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
3146301160,99.67,Perkotaan+Perdesaan,2016,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
3146301170,99.66,Perkotaan+Perdesaan,2017,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
3146301180,99.71,Perkotaan+Perdesaan,2018,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
3146301190,99.76,Perkotaan+Perdesaan,2019,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
3146301200,99.78,Perkotaan+Perdesaan,2020,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
3146301210,99.78,Perkotaan+Perdesaan,2021,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
3146301220,99.8,Perkotaan+Perdesaan,2022,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Daerah Tempat Tinggal
