id,values,jenis_kelamin,tahun,data_title
1146401150,99.7,Laki-laki,2015,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
1146401160,99.68,Laki-laki,2016,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
1146401170,99.67,Laki-laki,2017,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
1146401180,99.72,Laki-laki,2018,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
1146401190,99.78,Laki-laki,2019,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
1146401200,99.78,Laki-laki,2020,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
1146401210,99.78,Laki-laki,2021,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
1146401220,99.78,Laki-laki,2022,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
2146401150,99.64,Perempuan,2015,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
2146401160,99.65,Perempuan,2016,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
2146401170,99.65,Perempuan,2017,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
2146401180,99.7,Perempuan,2018,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
2146401190,99.75,Perempuan,2019,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
2146401200,99.78,Perempuan,2020,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
2146401210,99.78,Perempuan,2021,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
2146401220,99.81,Perempuan,2022,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
3146401150,99.67,Total,2015,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
3146401160,99.67,Total,2016,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
3146401170,99.66,Total,2017,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
3146401180,99.71,Total,2018,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
3146401190,99.76,Total,2019,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
3146401200,99.78,Total,2020,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
3146401210,99.78,Total,2021,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
3146401220,99.8,Total,2022,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Jenis Kelamin
