id,values,area,tahun,data_title
1146701150,99.01,Perkotaan,2015,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
1146701160,99.15,Perkotaan,2016,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
1146701170,99.13,Perkotaan,2017,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
1146701180,99.18,Perkotaan,2018,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
1146701190,99.24,Perkotaan,2019,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
1146701200,99.31,Perkotaan,2020,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
1146701210,99.38,Perkotaan,2021,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
1146701220,99.33,Perkotaan,2022,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
2146701150,96.32,Perdesaan,2015,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
2146701160,96.56,Perdesaan,2016,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
2146701170,96.51,Perdesaan,2017,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
2146701180,96.67,Perdesaan,2018,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
2146701190,96.86,Perdesaan,2019,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
2146701200,96.93,Perdesaan,2020,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
2146701210,97.14,Perdesaan,2021,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
2146701220,97.35,Perdesaan,2022,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
3146701150,97.71,Perkotaan+Perdesaan,2015,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
3146701160,97.93,Perkotaan+Perdesaan,2016,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
3146701170,97.93,Perkotaan+Perdesaan,2017,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
3146701180,98.07,Perkotaan+Perdesaan,2018,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
3146701190,98.22,Perkotaan+Perdesaan,2019,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
3146701200,98.29,Perkotaan+Perdesaan,2020,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
3146701210,98.44,Perkotaan+Perdesaan,2021,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
3146701220,98.49,Perkotaan+Perdesaan,2022,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Daerah Tempat Tinggal
