id,values,kuantil,tahun,data_title
1146901150,95.31,Kuintil 1,2015,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
1146901160,95.53,Kuintil 1,2016,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
1146901170,95.59,Kuintil 1,2017,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
1146901180,96.01,Kuintil 1,2018,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
1146901190,96.28,Kuintil 1,2019,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
1146901200,96.52,Kuintil 1,2020,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
1146901210,96.86,Kuintil 1,2021,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
1146901220,97.14,Kuintil 1,2022,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
2146901150,97.01,Kuintil 2,2015,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
2146901160,97.61,Kuintil 2,2016,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
2146901170,97.58,Kuintil 2,2017,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
2146901180,97.71,Kuintil 2,2018,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
2146901190,97.91,Kuintil 2,2019,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
2146901200,97.99,Kuintil 2,2020,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
2146901210,98.18,Kuintil 2,2021,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
2146901220,98.33,Kuintil 2,2022,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
3146901150,97.86,Kuintil 3,2015,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
3146901160,98.17,Kuintil 3,2016,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
3146901170,98.08,Kuintil 3,2017,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
3146901180,98.27,Kuintil 3,2018,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
3146901190,98.4,Kuintil 3,2019,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
3146901200,98.49,Kuintil 3,2020,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
3146901210,98.65,Kuintil 3,2021,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
3146901220,98.61,Kuintil 3,2022,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
4146901150,98.55,Kuintil 4,2015,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
4146901160,98.48,Kuintil 4,2016,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
4146901170,98.45,Kuintil 4,2017,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
4146901180,98.55,Kuintil 4,2018,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
4146901190,98.72,Kuintil 4,2019,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
4146901200,98.74,Kuintil 4,2020,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
4146901210,98.88,Kuintil 4,2021,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
4146901220,98.96,Kuintil 4,2022,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
5146901150,99.31,Kuintil 5,2015,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
5146901160,99.37,Kuintil 5,2016,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
5146901170,99.29,Kuintil 5,2017,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
5146901180,99.4,Kuintil 5,2018,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
5146901190,99.37,Kuintil 5,2019,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
5146901200,99.33,Kuintil 5,2020,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
5146901210,99.34,Kuintil 5,2021,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
5146901220,99.23,Kuintil 5,2022,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Kelompok Pendapatan
