id,values,kuantil,jenjang,tahun,data_title
1160811691150,100.43,40% terbawah,SD/MI/SEDERAJAT,2015,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Kelompok Pendapatan (Pengeluaran)
1160811691160,99.93,40% terbawah,SD/MI/SEDERAJAT,2016,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Kelompok Pendapatan (Pengeluaran)
1160811691170,99.69,40% terbawah,SD/MI/SEDERAJAT,2017,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Kelompok Pendapatan (Pengeluaran)
1160811691180,99.6,40% terbawah,SD/MI/SEDERAJAT,2018,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Kelompok Pendapatan (Pengeluaran)
1160811691190,100.09,40% terbawah,SD/MI/SEDERAJAT,2019,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Kelompok Pendapatan (Pengeluaran)
1160811691200,100.08,40% terbawah,SD/MI/SEDERAJAT,2020,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Kelompok Pendapatan (Pengeluaran)
1160811691210,99.89,40% terbawah,SD/MI/SEDERAJAT,2021,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Kelompok Pendapatan (Pengeluaran)
1160811691220,99.98,40% terbawah,SD/MI/SEDERAJAT,2022,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Kelompok Pendapatan (Pengeluaran)
1160811701150,105.78,40% terbawah,SMP/MTS/SEDERAJAT,2015,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Kelompok Pendapatan (Pengeluaran)
1160811701160,107.93,40% terbawah,SMP/MTS/SEDERAJAT,2016,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Kelompok Pendapatan (Pengeluaran)
1160811701170,104.23,40% terbawah,SMP/MTS/SEDERAJAT,2017,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Kelompok Pendapatan (Pengeluaran)
1160811701180,103.6,40% terbawah,SMP/MTS/SEDERAJAT,2018,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Kelompok Pendapatan (Pengeluaran)
1160811701190,103.81,40% terbawah,SMP/MTS/SEDERAJAT,2019,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Kelompok Pendapatan (Pengeluaran)
1160811701200,102.19,40% terbawah,SMP/MTS/SEDERAJAT,2020,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Kelompok Pendapatan (Pengeluaran)
1160811701210,101.17,40% terbawah,SMP/MTS/SEDERAJAT,2021,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Kelompok Pendapatan (Pengeluaran)
1160811701220,102.61,40% terbawah,SMP/MTS/SEDERAJAT,2022,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Kelompok Pendapatan (Pengeluaran)
1160811711150,107.44,40% terbawah,SMA/SMK/MA/SEDERAJAT,2015,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Kelompok Pendapatan (Pengeluaran)
1160811711160,112.19,40% terbawah,SMA/SMK/MA/SEDERAJAT,2016,Rasio Angka Partisipasi Murni (APM) Perempuan/Laki-Laki Menurut Kelompok Pendapatan (Pengeluaran)
