id,values,jenjang,tahun,data_title
4179801160,41.88,SMK,2016,Proporsi Sekolah dengan Akses Fasilitas Toilet Terpisah
4179801170,53.31,SMK,2017,Proporsi Sekolah dengan Akses Fasilitas Toilet Terpisah
4179801180,84.14,SMK,2018,Proporsi Sekolah dengan Akses Fasilitas Toilet Terpisah
1179801160,31.4,SD,2016,Proporsi Sekolah dengan Akses Fasilitas Toilet Terpisah
1179801170,39.73,SD,2017,Proporsi Sekolah dengan Akses Fasilitas Toilet Terpisah
1179801180,68.99,SD,2018,Proporsi Sekolah dengan Akses Fasilitas Toilet Terpisah
2179801160,41.36,SMP,2016,Proporsi Sekolah dengan Akses Fasilitas Toilet Terpisah
2179801170,50.05,SMP,2017,Proporsi Sekolah dengan Akses Fasilitas Toilet Terpisah
2179801180,79.48,SMP,2018,Proporsi Sekolah dengan Akses Fasilitas Toilet Terpisah
3179801160,35.82,SMA,2016,Proporsi Sekolah dengan Akses Fasilitas Toilet Terpisah
3179801170,49.99,SMA,2017,Proporsi Sekolah dengan Akses Fasilitas Toilet Terpisah
3179801180,83.4,SMA,2018,Proporsi Sekolah dengan Akses Fasilitas Toilet Terpisah
