id,values,provinsi,jenjang,tahun,data_title
9999198016721150,91.44,INDONESIA,SD / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
9999198016721160,93.88,INDONESIA,SD / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
9999198016721170,95.25,INDONESIA,SD / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
9999198016721180,94.68,INDONESIA,SD / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
9999198016721190,95.48,INDONESIA,SD / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
9999198016721200,96.0,INDONESIA,SD / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
9999198016721210,97.37,INDONESIA,SD / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
9999198016731150,79.05,INDONESIA,SMP / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
9999198016731160,83.76,INDONESIA,SMP / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
9999198016731170,84.74,INDONESIA,SMP / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
9999198016731180,84.96,INDONESIA,SMP / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
9999198016731190,85.23,INDONESIA,SMP / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
9999198016731200,87.89,INDONESIA,SMP / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
9999198016731210,88.88,INDONESIA,SMP / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
9999198016741150,52.04,INDONESIA,SMA / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
9999198016741160,57.47,INDONESIA,SMA / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
9999198016741170,57.71,INDONESIA,SMA / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
9999198016741180,61.84,INDONESIA,SMA / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
9999198016741190,58.33,INDONESIA,SMA / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
9999198016741200,63.95,INDONESIA,SMA / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
9999198016741210,65.94,INDONESIA,SMA / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1100198016721150,96.47,ACEH,SD / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1100198016721160,98.07,ACEH,SD / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1100198016721170,97.85,ACEH,SD / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1100198016721180,96.75,ACEH,SD / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1100198016721190,98.6,ACEH,SD / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1100198016721200,98.33,ACEH,SD / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1100198016721210,99.44,ACEH,SD / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1100198016731150,89.01,ACEH,SMP / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1100198016731160,88.7,ACEH,SMP / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1100198016731170,89.42,ACEH,SMP / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1100198016731180,87.15,ACEH,SMP / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1100198016731190,89.5,ACEH,SMP / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1100198016731200,90.92,ACEH,SMP / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1100198016731210,93.43,ACEH,SMP / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1100198016741150,68.16,ACEH,SMA / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1100198016741160,74.46,ACEH,SMA / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1100198016741170,70.64,ACEH,SMA / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1100198016741180,70.68,ACEH,SMA / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1100198016741190,69.96,ACEH,SMA / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1100198016741200,70.07,ACEH,SMA / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1100198016741210,74.36,ACEH,SMA / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1200198016721150,92.76,SUMATERA UTARA,SD / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1200198016721160,96.61,SUMATERA UTARA,SD / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1200198016721170,97.63,SUMATERA UTARA,SD / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1200198016721180,95.76,SUMATERA UTARA,SD / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1200198016721190,97.12,SUMATERA UTARA,SD / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1200198016721200,96.48,SUMATERA UTARA,SD / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1200198016721210,98.57,SUMATERA UTARA,SD / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1200198016731150,80.87,SUMATERA UTARA,SMP / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1200198016731160,87.97,SUMATERA UTARA,SMP / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1200198016731170,88.7,SUMATERA UTARA,SMP / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1200198016731180,87.97,SUMATERA UTARA,SMP / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1200198016731190,88.26,SUMATERA UTARA,SMP / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1200198016731200,91.63,SUMATERA UTARA,SMP / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
