id,values,wilayah,jenjang,tahun,data_title
1198116721150,94.62,Kota,SD / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Wilayah
1198116721160,95.59,Kota,SD / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Wilayah
1198116721170,97.2,Kota,SD / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Wilayah
1198116721180,96.34,Kota,SD / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Wilayah
1198116721190,97.01,Kota,SD / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Wilayah
1198116721200,96.89,Kota,SD / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Wilayah
1198116721210,98.27,Kota,SD / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Wilayah
1198116731150,85.33,Kota,SMP / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Wilayah
1198116731160,89.26,Kota,SMP / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Wilayah
1198116731170,89.21,Kota,SMP / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Wilayah
1198116731180,89.2,Kota,SMP / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Wilayah
1198116731190,88.61,Kota,SMP / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Wilayah
1198116731200,90.82,Kota,SMP / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Wilayah
1198116731210,91.38,Kota,SMP / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Wilayah
1198116741150,64.27,Kota,SMA / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Wilayah
1198116741160,68.1,Kota,SMA / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Wilayah
1198116741170,66.7,Kota,SMA / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Wilayah
1198116741180,71.56,Kota,SMA / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Wilayah
1198116741190,65.89,Kota,SMA / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Wilayah
1198116741200,72.43,Kota,SMA / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Wilayah
1198116741210,74.17,Kota,SMA / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Wilayah
2198116721150,88.47,Desa,SD / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Wilayah
