id,values,jenis_kelamin,jenjang,tahun,data_title
1198216721150,90.05,Laki-laki,SD / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216721160,92.17,Laki-laki,SD / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216721170,94.28,Laki-laki,SD / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216721180,93.58,Laki-laki,SD / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216721190,94.46,Laki-laki,SD / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216721200,95.69,Laki-laki,SD / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216721210,97.0,Laki-laki,SD / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216731150,77.44,Laki-laki,SMP / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216731160,81.56,Laki-laki,SMP / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216731170,82.7,Laki-laki,SMP / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216731180,82.65,Laki-laki,SMP / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216731190,83.34,Laki-laki,SMP / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216731200,86.26,Laki-laki,SMP / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216731210,87.04,Laki-laki,SMP / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216741150,48.61,Laki-laki,SMA / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216741160,55.4,Laki-laki,SMA / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216741170,56.64,Laki-laki,SMA / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216741180,60.64,Laki-laki,SMA / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216741190,57.0,Laki-laki,SMA / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216741200,62.15,Laki-laki,SMA / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216741210,64.48,Laki-laki,SMA / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216721150,92.9,Perempuan,SD / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216721160,95.66,Perempuan,SD / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216721170,96.29,Perempuan,SD / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216721180,95.86,Perempuan,SD / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216721190,96.54,Perempuan,SD / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216721200,96.33,Perempuan,SD / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216721210,97.76,Perempuan,SD / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216731150,80.78,Perempuan,SMP / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216731160,86.06,Perempuan,SMP / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216731170,86.82,Perempuan,SMP / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216731180,87.34,Perempuan,SMP / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216731190,87.23,Perempuan,SMP / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216731200,89.58,Perempuan,SMP / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216731210,90.78,Perempuan,SMP / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216741150,55.68,Perempuan,SMA / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216741160,59.71,Perempuan,SMA / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216741170,58.84,Perempuan,SMA / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216741180,63.1,Perempuan,SMA / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216741190,59.75,Perempuan,SMA / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216741200,65.85,Perempuan,SMA / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216741210,67.46,Perempuan,SMA / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
3198216721150,91.44,Laki-laki + Perempuan,SD / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
3198216721160,93.88,Laki-laki + Perempuan,SD / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
3198216721170,95.25,Laki-laki + Perempuan,SD / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
3198216721180,94.68,Laki-laki + Perempuan,SD / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
3198216721190,95.48,Laki-laki + Perempuan,SD / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
3198216721200,96.0,Laki-laki + Perempuan,SD / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
3198216721210,97.37,Laki-laki + Perempuan,SD / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
3198216731150,79.05,Laki-laki + Perempuan,SMP / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
3198216731160,83.76,Laki-laki + Perempuan,SMP / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
3198216731170,84.74,Laki-laki + Perempuan,SMP / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
3198216731180,84.96,Laki-laki + Perempuan,SMP / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
3198216731190,85.23,Laki-laki + Perempuan,SMP / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
3198216731200,87.89,Laki-laki + Perempuan,SMP / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
3198216731210,88.88,Laki-laki + Perempuan,SMP / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
3198216741150,52.04,Laki-laki + Perempuan,SMA / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
3198216741160,57.47,Laki-laki + Perempuan,SMA / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
3198216741170,57.71,Laki-laki + Perempuan,SMA / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
3198216741180,61.84,Laki-laki + Perempuan,SMA / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
3198216741190,58.33,Laki-laki + Perempuan,SMA / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
3198216741200,63.95,Laki-laki + Perempuan,SMA / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
3198216741210,65.94,Laki-laki + Perempuan,SMA / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
