id,values,area,breakdown,year,data_title
1198616721190,1.0,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
1198616721200,0.72,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
1198616721210,0.75,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
1198616731190,7.59,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
1198616731200,8.42,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
1198616731210,7.56,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
1198616741190,25.17,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
1198616741200,23.57,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
1198616741210,23.14,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
2198616721190,0.69,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
2198616721200,0.52,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
2198616721210,0.55,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
2198616731190,6.22,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
2198616731200,6.08,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
2198616731210,5.96,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
2198616741190,22.24,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
2198616741200,21.0,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
2198616741210,19.76,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
3198616721190,0.85,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
3198616721200,0.62,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
3198616721210,0.65,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
3198616731190,6.92,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
3198616731200,7.29,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
3198616731210,6.77,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
3198616741190,23.75,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
3198616741200,22.31,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
3198616741210,21.47,,,,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin
