id,values,area,breakdown,year,data_title
99993045391030,92.55,INDONESIA,SD/MI/Paket A,2003,Angka Partisipasi Murni ( A P M )
99993045391040,93.04,INDONESIA,SD/MI/Paket A,2004,Angka Partisipasi Murni ( A P M )
99993045391050,93.25,INDONESIA,SD/MI/Paket A,2005,Angka Partisipasi Murni ( A P M )
99993045391060,93.54,INDONESIA,SD/MI/Paket A,2006,Angka Partisipasi Murni ( A P M )
99993045391070,93.78,INDONESIA,SD/MI/Paket A,2007,Angka Partisipasi Murni ( A P M )
99993045391080,93.99,INDONESIA,SD/MI/Paket A,2008,Angka Partisipasi Murni ( A P M )
99993045391090,94.37,INDONESIA,SD/MI/Paket A,2009,Angka Partisipasi Murni ( A P M )
99993045391100,94.76,INDONESIA,SD/MI/Paket A,2010,Angka Partisipasi Murni ( A P M )
99993045391110,91.07,INDONESIA,SD/MI/Paket A,2011,Angka Partisipasi Murni ( A P M )
99993045391120,92.54,INDONESIA,SD/MI/Paket A,2012,Angka Partisipasi Murni ( A P M )
99993045391130,95.59,INDONESIA,SD/MI/Paket A,2013,Angka Partisipasi Murni ( A P M )
99993045391140,96.45,INDONESIA,SD/MI/Paket A,2014,Angka Partisipasi Murni ( A P M )
99993045391150,96.7,INDONESIA,SD/MI/Paket A,2015,Angka Partisipasi Murni ( A P M )
99993045391160,96.82,INDONESIA,SD/MI/Paket A,2016,Angka Partisipasi Murni ( A P M )
99993045391170,97.19,INDONESIA,SD/MI/Paket A,2017,Angka Partisipasi Murni ( A P M )
99993045391180,97.58,INDONESIA,SD/MI/Paket A,2018,Angka Partisipasi Murni ( A P M )
99993045391190,97.64,INDONESIA,SD/MI/Paket A,2019,Angka Partisipasi Murni ( A P M )
99993045391200,97.69,INDONESIA,SD/MI/Paket A,2020,Angka Partisipasi Murni ( A P M )
99993045391210,97.8,INDONESIA,SD/MI/Paket A,2021,Angka Partisipasi Murni ( A P M )
99993045401030,63.49,INDONESIA,SMP/Mts/Paket B,2003,Angka Partisipasi Murni ( A P M )
99993045401040,65.24,INDONESIA,SMP/Mts/Paket B,2004,Angka Partisipasi Murni ( A P M )
99993045401050,65.37,INDONESIA,SMP/Mts/Paket B,2005,Angka Partisipasi Murni ( A P M )
99993045401060,66.52,INDONESIA,SMP/Mts/Paket B,2006,Angka Partisipasi Murni ( A P M )
99993045401070,66.9,INDONESIA,SMP/Mts/Paket B,2007,Angka Partisipasi Murni ( A P M )
99993045401080,67.39,INDONESIA,SMP/Mts/Paket B,2008,Angka Partisipasi Murni ( A P M )
99993045401090,67.43,INDONESIA,SMP/Mts/Paket B,2009,Angka Partisipasi Murni ( A P M )
99993045401100,67.73,INDONESIA,SMP/Mts/Paket B,2010,Angka Partisipasi Murni ( A P M )
99993045401110,68.36,INDONESIA,SMP/Mts/Paket B,2011,Angka Partisipasi Murni ( A P M )
99993045401120,70.93,INDONESIA,SMP/Mts/Paket B,2012,Angka Partisipasi Murni ( A P M )
99993045401130,73.88,INDONESIA,SMP/Mts/Paket B,2013,Angka Partisipasi Murni ( A P M )
99993045401140,77.53,INDONESIA,SMP/Mts/Paket B,2014,Angka Partisipasi Murni ( A P M )
99993045401150,77.82,INDONESIA,SMP/Mts/Paket B,2015,Angka Partisipasi Murni ( A P M )
99993045401160,77.95,INDONESIA,SMP/Mts/Paket B,2016,Angka Partisipasi Murni ( A P M )
99993045401170,78.4,INDONESIA,SMP/Mts/Paket B,2017,Angka Partisipasi Murni ( A P M )
99993045401180,78.84,INDONESIA,SMP/Mts/Paket B,2018,Angka Partisipasi Murni ( A P M )
99993045401190,79.4,INDONESIA,SMP/Mts/Paket B,2019,Angka Partisipasi Murni ( A P M )
99993045401200,80.12,INDONESIA,SMP/Mts/Paket B,2020,Angka Partisipasi Murni ( A P M )
99993045401210,80.59,INDONESIA,SMP/Mts/Paket B,2021,Angka Partisipasi Murni ( A P M )
99993045411030,40.56,INDONESIA,SM/SMK/MA/Paket C,2003,Angka Partisipasi Murni ( A P M )
99993045411040,42.96,INDONESIA,SM/SMK/MA/Paket C,2004,Angka Partisipasi Murni ( A P M )
99993045411050,43.5,INDONESIA,SM/SMK/MA/Paket C,2005,Angka Partisipasi Murni ( A P M )
99993045411060,43.77,INDONESIA,SM/SMK/MA/Paket C,2006,Angka Partisipasi Murni ( A P M )
99993045411070,44.84,INDONESIA,SM/SMK/MA/Paket C,2007,Angka Partisipasi Murni ( A P M )
99993045411080,44.97,INDONESIA,SM/SMK/MA/Paket C,2008,Angka Partisipasi Murni ( A P M )
99993045411090,45.11,INDONESIA,SM/SMK/MA/Paket C,2009,Angka Partisipasi Murni ( A P M )
99993045411100,45.59,INDONESIA,SM/SMK/MA/Paket C,2010,Angka Partisipasi Murni ( A P M )
99993045411110,48.07,INDONESIA,SM/SMK/MA/Paket C,2011,Angka Partisipasi Murni ( A P M )
99993045411120,51.88,INDONESIA,SM/SMK/MA/Paket C,2012,Angka Partisipasi Murni ( A P M )
99993045411130,54.25,INDONESIA,SM/SMK/MA/Paket C,2013,Angka Partisipasi Murni ( A P M )
99993045411140,59.35,INDONESIA,SM/SMK/MA/Paket C,2014,Angka Partisipasi Murni ( A P M )
99993045411150,59.71,INDONESIA,SM/SMK/MA/Paket C,2015,Angka Partisipasi Murni ( A P M )
99993045411160,59.95,INDONESIA,SM/SMK/MA/Paket C,2016,Angka Partisipasi Murni ( A P M )
99993045411170,60.37,INDONESIA,SM/SMK/MA/Paket C,2017,Angka Partisipasi Murni ( A P M )
99993045411180,60.67,INDONESIA,SM/SMK/MA/Paket C,2018,Angka Partisipasi Murni ( A P M )
99993045411190,60.84,INDONESIA,SM/SMK/MA/Paket C,2019,Angka Partisipasi Murni ( A P M )
99993045411200,61.25,INDONESIA,SM/SMK/MA/Paket C,2020,Angka Partisipasi Murni ( A P M )
99993045411210,61.65,INDONESIA,SM/SMK/MA/Paket C,2021,Angka Partisipasi Murni ( A P M )
11003045391030,95.36,ACEH,SD/MI/Paket A,2003,Angka Partisipasi Murni ( A P M )
11003045391040,95.88,ACEH,SD/MI/Paket A,2004,Angka Partisipasi Murni ( A P M )
11003045391060,95.48,ACEH,SD/MI/Paket A,2006,Angka Partisipasi Murni ( A P M )
