id,values,kuantil,tahun,data_title
999930960,64.4,,1996,Angka Harapan Hidup
999930990,66.2,,1999,Angka Harapan Hidup
9999301020,66.2,,2002,Angka Harapan Hidup
9999301040,67.6,,2004,Angka Harapan Hidup
9999301050,68.08,,2005,Angka Harapan Hidup
9999301060,68.47,,2006,Angka Harapan Hidup
9999301070,68.7,,2007,Angka Harapan Hidup
9999301080,69.0,,2008,Angka Harapan Hidup
9999301090,69.21,,2009,Angka Harapan Hidup
9999301100,69.43,,2010,Angka Harapan Hidup
9999301110,69.65,,2011,Angka Harapan Hidup
9999301120,69.87,,2012,Angka Harapan Hidup
9999301130,70.07,,2013,Angka Harapan Hidup
110030960,66.4,,1996,Angka Harapan Hidup
110030990,67.6,,1999,Angka Harapan Hidup
1100301020,67.7,,2002,Angka Harapan Hidup
1100301040,67.9,,2004,Angka Harapan Hidup
1100301050,67.95,,2005,Angka Harapan Hidup
1100301060,68.3,,2006,Angka Harapan Hidup
1100301070,68.4,,2007,Angka Harapan Hidup
1100301080,68.5,,2008,Angka Harapan Hidup
1100301090,68.6,,2009,Angka Harapan Hidup
1100301100,68.7,,2010,Angka Harapan Hidup
1100301110,68.8,,2011,Angka Harapan Hidup
1100301120,68.94,,2012,Angka Harapan Hidup
1100301130,69.4,,2013,Angka Harapan Hidup
120030960,65.7,,1996,Angka Harapan Hidup
120030990,67.1,,1999,Angka Harapan Hidup
1200301020,67.3,,2002,Angka Harapan Hidup
1200301040,68.16,,2004,Angka Harapan Hidup
1200301050,68.7,,2005,Angka Harapan Hidup
1200301060,68.9,,2006,Angka Harapan Hidup
1200301070,69.1,,2007,Angka Harapan Hidup
1200301080,69.2,,2008,Angka Harapan Hidup
1200301090,69.35,,2009,Angka Harapan Hidup
1200301100,69.5,,2010,Angka Harapan Hidup
1200301110,69.65,,2011,Angka Harapan Hidup
1200301120,69.81,,2012,Angka Harapan Hidup
1200301130,69.9,,2013,Angka Harapan Hidup
130030960,63.8,,1996,Angka Harapan Hidup
130030990,65.5,,1999,Angka Harapan Hidup
1300301020,66.1,,2002,Angka Harapan Hidup
1300301040,67.6,,2004,Angka Harapan Hidup
1300301050,68.23,,2005,Angka Harapan Hidup
1300301060,68.5,,2006,Angka Harapan Hidup
1300301070,68.8,,2007,Angka Harapan Hidup
1300301080,69.0,,2008,Angka Harapan Hidup
1300301090,69.25,,2009,Angka Harapan Hidup
1300301100,69.5,,2010,Angka Harapan Hidup
1300301110,69.76,,2011,Angka Harapan Hidup
1300301120,70.02,,2012,Angka Harapan Hidup
1300301130,70.09,,2013,Angka Harapan Hidup
140030960,66.9,,1996,Angka Harapan Hidup
140030990,67.8,,1999,Angka Harapan Hidup
1400301020,68.1,,2002,Angka Harapan Hidup
1400301040,69.8,,2004,Angka Harapan Hidup
1400301050,70.73,,2005,Angka Harapan Hidup
