id,values,dimensi,tahun,label,data_title
12935321100,0.91,Amerika Serikat/USA,2010,Nilai,Indeks Pembangunan Manusia Beberapa Negara
12935321110,0.91,Amerika Serikat/USA,2011,Nilai,Indeks Pembangunan Manusia Beberapa Negara
12935321120,0.91,Amerika Serikat/USA,2012,Nilai,Indeks Pembangunan Manusia Beberapa Negara
12935321130,0.91,Amerika Serikat/USA,2013,Nilai,Indeks Pembangunan Manusia Beberapa Negara
12935331100,4.0,Amerika Serikat/USA,2010,Peringkat,Indeks Pembangunan Manusia Beberapa Negara
12935331110,5.0,Amerika Serikat/USA,2011,Peringkat,Indeks Pembangunan Manusia Beberapa Negara
12935331120,5.0,Amerika Serikat/USA,2012,Peringkat,Indeks Pembangunan Manusia Beberapa Negara
12935331130,5.0,Amerika Serikat/USA,2013,Peringkat,Indeks Pembangunan Manusia Beberapa Negara
22935321100,0.82,Arab Saudi/Saudi Arabia,2010,Nilai,Indeks Pembangunan Manusia Beberapa Negara
22935321110,0.83,Arab Saudi/Saudi Arabia,2011,Nilai,Indeks Pembangunan Manusia Beberapa Negara
22935321120,0.83,Arab Saudi/Saudi Arabia,2012,Nilai,Indeks Pembangunan Manusia Beberapa Negara
22935321130,0.84,Arab Saudi/Saudi Arabia,2013,Nilai,Indeks Pembangunan Manusia Beberapa Negara
22935331100,43.0,Arab Saudi/Saudi Arabia,2010,Peringkat,Indeks Pembangunan Manusia Beberapa Negara
22935331110,38.0,Arab Saudi/Saudi Arabia,2011,Peringkat,Indeks Pembangunan Manusia Beberapa Negara
22935331120,34.0,Arab Saudi/Saudi Arabia,2012,Peringkat,Indeks Pembangunan Manusia Beberapa Negara
22935331130,34.0,Arab Saudi/Saudi Arabia,2013,Peringkat,Indeks Pembangunan Manusia Beberapa Negara
32935321100,0.93,Australia,2010,Nilai,Indeks Pembangunan Manusia Beberapa Negara
32935321110,0.93,Australia,2011,Nilai,Indeks Pembangunan Manusia Beberapa Negara
32935321120,0.93,Australia,2012,Nilai,Indeks Pembangunan Manusia Beberapa Negara
32935321130,0.93,Australia,2013,Nilai,Indeks Pembangunan Manusia Beberapa Negara
32935331100,2.0,Australia,2010,Peringkat,Indeks Pembangunan Manusia Beberapa Negara
32935331110,2.0,Australia,2011,Peringkat,Indeks Pembangunan Manusia Beberapa Negara
32935331120,2.0,Australia,2012,Peringkat,Indeks Pembangunan Manusia Beberapa Negara
32935331130,2.0,Australia,2013,Peringkat,Indeks Pembangunan Manusia Beberapa Negara
42935321100,0.54,Bangladesh,2010,Nilai,Indeks Pembangunan Manusia Beberapa Negara
42935321110,0.55,Bangladesh,2011,Nilai,Indeks Pembangunan Manusia Beberapa Negara
42935321120,0.55,Bangladesh,2012,Nilai,Indeks Pembangunan Manusia Beberapa Negara
42935321130,0.56,Bangladesh,2013,Nilai,Indeks Pembangunan Manusia Beberapa Negara
42935331100,143.0,Bangladesh,2010,Peringkat,Indeks Pembangunan Manusia Beberapa Negara
42935331110,141.0,Bangladesh,2011,Peringkat,Indeks Pembangunan Manusia Beberapa Negara
42935331120,143.0,Bangladesh,2012,Peringkat,Indeks Pembangunan Manusia Beberapa Negara
