id,values,dimensi,tahun,label,data_title
999940960,85.5,INDONESIA,1996,Tidak Ada,Angka Melek Huruf
999940990,88.4,INDONESIA,1999,Tidak Ada,Angka Melek Huruf
9999401020,89.5,INDONESIA,2002,Tidak Ada,Angka Melek Huruf
9999401040,90.38,INDONESIA,2004,Tidak Ada,Angka Melek Huruf
9999401050,90.9,INDONESIA,2005,Tidak Ada,Angka Melek Huruf
9999401060,91.45,INDONESIA,2006,Tidak Ada,Angka Melek Huruf
9999401070,91.87,INDONESIA,2007,Tidak Ada,Angka Melek Huruf
9999401080,92.19,INDONESIA,2008,Tidak Ada,Angka Melek Huruf
9999401090,92.58,INDONESIA,2009,Tidak Ada,Angka Melek Huruf
9999401100,92.91,INDONESIA,2010,Tidak Ada,Angka Melek Huruf
9999401110,92.99,INDONESIA,2011,Tidak Ada,Angka Melek Huruf
9999401120,93.25,INDONESIA,2012,Tidak Ada,Angka Melek Huruf
9999401130,94.14,INDONESIA,2013,Tidak Ada,Angka Melek Huruf
110040960,90.1,&lt;b&gt;ACEH&lt;/b&gt;,1996,Tidak Ada,Angka Melek Huruf
110040990,93.1,&lt;b&gt;ACEH&lt;/b&gt;,1999,Tidak Ada,Angka Melek Huruf
1100401020,95.8,&lt;b&gt;ACEH&lt;/b&gt;,2002,Tidak Ada,Angka Melek Huruf
1100401040,95.69,&lt;b&gt;ACEH&lt;/b&gt;,2004,Tidak Ada,Angka Melek Huruf
1100401050,96.0,&lt;b&gt;ACEH&lt;/b&gt;,2005,Tidak Ada,Angka Melek Huruf
1100401060,96.2,&lt;b&gt;ACEH&lt;/b&gt;,2006,Tidak Ada,Angka Melek Huruf
1100401070,96.2,&lt;b&gt;ACEH&lt;/b&gt;,2007,Tidak Ada,Angka Melek Huruf
1100401080,96.2,&lt;b&gt;ACEH&lt;/b&gt;,2008,Tidak Ada,Angka Melek Huruf
1100401090,96.39,&lt;b&gt;ACEH&lt;/b&gt;,2009,Tidak Ada,Angka Melek Huruf
1100401100,96.88,&lt;b&gt;ACEH&lt;/b&gt;,2010,Tidak Ada,Angka Melek Huruf
1100401110,96.95,&lt;b&gt;ACEH&lt;/b&gt;,2011,Tidak Ada,Angka Melek Huruf
1100401120,96.99,&lt;b&gt;ACEH&lt;/b&gt;,2012,Tidak Ada,Angka Melek Huruf
