id,values,kuantil,tahun,data_title
999910791,2.58,,1979,Inflasi (Umum)
999910792,2.34,,1979,Inflasi (Umum)
999910793,0.55,,1979,Inflasi (Umum)
999910794,3.02,,1979,Inflasi (Umum)
999910795,3.05,,1979,Inflasi (Umum)
999910796,2.32,,1979,Inflasi (Umum)
999910797,2.5,,1979,Inflasi (Umum)
999910798,2.34,,1979,Inflasi (Umum)
999910799,0.74,,1979,Inflasi (Umum)
9999107910,0.89,,,Inflasi (Umum)
9999107911,0.57,,,Inflasi (Umum)
9999107912,0.87,,,Inflasi (Umum)
9999107913,21.77,,,Inflasi (Umum)
999910801,1.19,,1980,Inflasi (Umum)
999910802,1.42,,1980,Inflasi (Umum)
999910803,0.22,,1980,Inflasi (Umum)
999910804,1.04,,1980,Inflasi (Umum)
999910805,3.79,,1980,Inflasi (Umum)
999910806,1.49,,1980,Inflasi (Umum)
999910807,1.1,,1980,Inflasi (Umum)
999910808,1.19,,1980,Inflasi (Umum)
999910809,0.36,,1980,Inflasi (Umum)
9999108010,1.69,,,Inflasi (Umum)
9999108011,2.22,,,Inflasi (Umum)
9999108012,0.26,,,Inflasi (Umum)
9999108013,15.97,,,Inflasi (Umum)
999910811,1.31,,1981,Inflasi (Umum)
999910812,0.7,,1981,Inflasi (Umum)
999910813,0.7,,1981,Inflasi (Umum)
999910814,0.93,,1981,Inflasi (Umum)
999910815,0.15,,1981,Inflasi (Umum)
999910816,0.42,,1981,Inflasi (Umum)
999910817,1.2,,1981,Inflasi (Umum)
999910818,0.51,,1981,Inflasi (Umum)
999910819,-0.19,,1981,Inflasi (Umum)
9999108110,1.17,,,Inflasi (Umum)
9999108111,-0.32,,,Inflasi (Umum)
9999108112,0.51,,,Inflasi (Umum)
9999108113,7.09,,,Inflasi (Umum)
999910821,4.7,,1982,Inflasi (Umum)
999910822,0.54,,1982,Inflasi (Umum)
999910823,0.18,,1982,Inflasi (Umum)
999910824,-0.06,,1982,Inflasi (Umum)
999910825,0.18,,1982,Inflasi (Umum)
999910826,0.33,,1982,Inflasi (Umum)
999910827,1.11,,1982,Inflasi (Umum)
999910828,-0.46,,1982,Inflasi (Umum)
999910829,0.88,,1982,Inflasi (Umum)
9999108210,1.24,,,Inflasi (Umum)
9999108211,0.44,,,Inflasi (Umum)
9999108212,0.61,,,Inflasi (Umum)
9999108213,9.69,,,Inflasi (Umum)
999910831,4.59,,1983,Inflasi (Umum)
999910832,0.14,,1983,Inflasi (Umum)
999910833,-0.6,,1983,Inflasi (Umum)
999910834,2.43,,1983,Inflasi (Umum)
999910835,0.87,,1983,Inflasi (Umum)
999910836,1.58,,1983,Inflasi (Umum)
