var_id,title,sub_name
70,Persentase Penduduk Usia 5 tahun ke atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Jenis Kelamin,Komunikasi
111,Persentase Rumah Tangga yang Memiliki/Menguasai  Telepon Tetap Kabel Menurut Provinsi dan Klasifikasi Daerah,Komunikasi
391,Persentase Rumah Tangga yang Memiliki/Menguasai  Telepon Seluler Menurut Provinsi dan Klasifikasi Daerah,Komunikasi
392,Rata-Rata Banyaknya Nomor Telepon Seluler Aktif Dari Rumah Tangga yang Memiliki/Menguasai Telepon Seluler Menurut Provinsi dan Klasifikasi Daerah,Komunikasi
393,Persentase Rumah Tangga yang Memiliki/Menguasai Telepon Bergerak Selular Menurut Provinsi dan Banyaknya Nomor Telepon Seluler Aktif,Komunikasi
395,Persentase Penduduk yang Memiliki/Menguasai Telepon Seluler Menurut Provinsi dan Klasifikasi Daerah,Komunikasi
396,Persentase Rumah Tangga yang Memiliki/Menguasai Komputer Menurut Provinsi dan Klasifikasi Daerah,Komunikasi
398,Persentase Rumah Tangga yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,Komunikasi
402,Persentase Rumah Tangga yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Media Akses,Komunikasi
403,Rata-Rata Banyaknya Anggota Rumah Tangga yang Pernah Mengakses Internet Dari Rumah Tangga yang Pernah Mengkases Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,Komunikasi
406,Persentase Penduduk Usia 5 Tahun ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,Komunikasi
407,Persentase Penduduk Usia 5 Tahun ke Atas  yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Media,Komunikasi
420,Persentase Penduduk Usia 5 Tahun ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Kelompok Umur,Komunikasi
423,Persentase Penduduk Usia 5 Tahun ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Jenjang Pendidikan Tertinggi yang Ditamatkan,Komunikasi
424,Persentase Penduduk Usia 5 Tahun Ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir untuk Kelompok Umur 5-12 tahun Menurut Provinsi dan Jenis Kelamin,Komunikasi
