id,values,jenis_kelamin,tahun,data_title
1118701120,15.4,Laki-laki,2012,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
1118701130,24.47,Laki-laki,2013,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
1118701140,27.17,Laki-laki,2014,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
1118701150,19.96,Laki-laki,2015,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
1118701160,20.5,Laki-laki,2016,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
1118701170,52.02,Laki-laki,2017,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
1118701180,50.63,Laki-laki,2018,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
1118701190,41.41,Laki-laki,2019,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
1118701200,58.67,Laki-laki,2020,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
2118701120,13.35,Perempuan,2012,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
2118701130,21.7,Perempuan,2013,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
2118701140,25.37,Perempuan,2014,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
2118701150,16.39,Perempuan,2015,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
2118701160,16.23,Perempuan,2016,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
2118701170,39.9,Perempuan,2017,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
2118701180,41.67,Perempuan,2018,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
2118701190,32.25,Perempuan,2019,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
2118701200,44.58,Perempuan,2020,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
3118701120,14.33,Total,2012,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
3118701130,23.07,Total,2013,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
3118701140,26.28,Total,2014,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
3118701150,18.73,Total,2015,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
3118701160,18.9,Total,2016,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
3118701170,46.37,Total,2017,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
3118701180,46.4,Total,2018,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
3118701190,37.5,Total,2019,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
3118701200,52.43,Total,2020,Proporsi Korban Kekerasan dalam 12 bulan terakhir yang Melaporkan Kepada Polisi
