id,values,jenis,tahun,data_title
1124001120,6284,Jumlah Berkas diterima,2012,Jumlah Penanganan Pengaduan Pelanggaran Hak Asasi Manusia
1124001130,5919,Jumlah Berkas diterima,2013,Jumlah Penanganan Pengaduan Pelanggaran Hak Asasi Manusia
1124001140,7285,Jumlah Berkas diterima,2014,Jumlah Penanganan Pengaduan Pelanggaran Hak Asasi Manusia
1124001150,8249,Jumlah Berkas diterima,2015,Jumlah Penanganan Pengaduan Pelanggaran Hak Asasi Manusia
1124001160,7188,Jumlah Berkas diterima,2016,Jumlah Penanganan Pengaduan Pelanggaran Hak Asasi Manusia
2124001120,89,Kasus Baru 1x Mediasi,2012,Jumlah Penanganan Pengaduan Pelanggaran Hak Asasi Manusia
2124001130,130,Kasus Baru 1x Mediasi,2013,Jumlah Penanganan Pengaduan Pelanggaran Hak Asasi Manusia
2124001140,336,Kasus Baru 1x Mediasi,2014,Jumlah Penanganan Pengaduan Pelanggaran Hak Asasi Manusia
2124001150,249,Kasus Baru 1x Mediasi,2015,Jumlah Penanganan Pengaduan Pelanggaran Hak Asasi Manusia
2124001160,234,Kasus Baru 1x Mediasi,2016,Jumlah Penanganan Pengaduan Pelanggaran Hak Asasi Manusia
