id,values,variabel,tahun,data_title
1130601110,1467,Kejadian Pembunuhan,2011,Jumlah Kasus Kejahatan Pembunuhan Pada Satu Tahun Terakhir
1130601120,1456,Kejadian Pembunuhan,2012,Jumlah Kasus Kejahatan Pembunuhan Pada Satu Tahun Terakhir
1130601130,1386,Kejadian Pembunuhan,2013,Jumlah Kasus Kejahatan Pembunuhan Pada Satu Tahun Terakhir
1130601140,1277,Kejadian Pembunuhan,2014,Jumlah Kasus Kejahatan Pembunuhan Pada Satu Tahun Terakhir
1130601150,1491,Kejadian Pembunuhan,2015,Jumlah Kasus Kejahatan Pembunuhan Pada Satu Tahun Terakhir
1130601160,1292,Kejadian Pembunuhan,2016,Jumlah Kasus Kejahatan Pembunuhan Pada Satu Tahun Terakhir
1130601170,1150,Kejadian Pembunuhan,2017,Jumlah Kasus Kejahatan Pembunuhan Pada Satu Tahun Terakhir
1130601180,1024,Kejadian Pembunuhan,2018,Jumlah Kasus Kejahatan Pembunuhan Pada Satu Tahun Terakhir
1130601190,964,Kejadian Pembunuhan,2019,Jumlah Kasus Kejahatan Pembunuhan Pada Satu Tahun Terakhir
1130601200,898,Kejadian Pembunuhan,2020,Jumlah Kasus Kejahatan Pembunuhan Pada Satu Tahun Terakhir
