id,values,jenjang,tahun,data_title
1150401120,3.47,≤ SLTP,2012,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
1150401130,3.55,≤ SLTP,2013,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
1150401140,3.52,≤ SLTP,2014,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
1150401150,3.49,≤ SLTP,2015,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
1150401170,3.58,≤ SLTP,2017,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
1150401180,3.53,≤ SLTP,2018,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
1150401190,3.57,≤ SLTP,2019,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
1150401200,3.8,≤ SLTP,2020,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
1150401210,3.83,≤ SLTP,2021,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
1150401220,3.88,≤ SLTP,2022,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
2150401120,3.78,SLTA,2012,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
2150401130,3.82,SLTA,2013,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
2150401140,3.85,SLTA,2014,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
2150401150,3.8,SLTA,2015,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
2150401170,3.99,SLTA,2017,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
2150401180,3.94,SLTA,2018,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
2150401190,3.94,SLTA,2019,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
2150401200,3.88,SLTA,2020,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
2150401210,3.92,SLTA,2021,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
2150401220,3.96,SLTA,2022,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
3150401120,3.94,&gt; SLTA,2012,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
3150401130,3.94,&gt; SLTA,2013,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
3150401140,4.01,&gt; SLTA,2014,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
3150401150,4.0,&gt; SLTA,2015,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
3150401170,4.09,&gt; SLTA,2017,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
3150401180,4.02,&gt; SLTA,2018,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
3150401190,4.05,&gt; SLTA,2019,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
3150401200,3.97,&gt; SLTA,2020,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
3150401210,3.99,&gt; SLTA,2021,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
3150401220,4.04,&gt; SLTA,2022,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
4150401120,3.55,Total,2012,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
4150401130,3.63,Total,2013,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
4150401140,3.61,Total,2014,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
4150401150,3.59,Total,2015,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
4150401170,3.71,Total,2017,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
4150401180,3.66,Total,2018,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
4150401190,3.7,Total,2019,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
4150401200,3.84,Total,2020,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
4150401210,3.88,Total,2021,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
4150401220,3.93,Total,2022,Indeks Perilaku Anti Korupsi (IPAK) Menurut Jenjang Pendidikan
