id,values,jenis_pelayanan,tahun,jenis_angka,data_title
1182311591170,3443.0,Pengaduan,2017,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
1182311591180,6652.0,Pengaduan,2018,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
1182311591190,5444.0,Pengaduan,2019,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
1182311601170,27.43,Pengaduan,2017,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
1182311601180,41.03,Pengaduan,2018,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
1182311601190,39.39,Pengaduan,2019,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
2182311591170,1823.0,Kesehatan,2017,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
2182311591180,3163.0,Kesehatan,2018,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
2182311591190,3232.0,Kesehatan,2019,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
2182311601170,14.53,Kesehatan,2017,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
2182311601180,19.51,Kesehatan,2018,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
2182311601190,23.38,Kesehatan,2019,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
3182311591170,884.0,Bantuan Hukum,2017,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
3182311591180,2265.0,Bantuan Hukum,2018,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
3182311591190,2234.0,Bantuan Hukum,2019,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
3182311601170,7.04,Bantuan Hukum,2017,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
3182311601180,13.97,Bantuan Hukum,2018,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
3182311601190,16.16,Bantuan Hukum,2019,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
4182311591170,1154.0,Penegakan Hukum,2017,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
4182311591180,1177.0,Penegakan Hukum,2018,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
4182311591190,773.0,Penegakan Hukum,2019,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
4182311601170,9.2,Penegakan Hukum,2017,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
4182311601180,7.26,Penegakan Hukum,2018,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
4182311601190,5.59,Penegakan Hukum,2019,Persentase,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
5182311591170,792.0,Rehabilitasi Sosial,2017,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
5182311591180,1330.0,Rehabilitasi Sosial,2018,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
5182311591190,1646.0,Rehabilitasi Sosial,2019,Jumlah,Jumlah kasus dan Persentase korban kekerasan terhadap perempuan yang mendapat layanan komprehensif
