id,values,provinsi,tahun,data_title
1215901210,80.92,Aceh,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
2215901210,77.6,Sumatera Utara,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
3215901210,78.51,Sumatera Barat,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
4215901210,75.66,Riau,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
5215901210,72.91,Jambi,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
6215901210,78.63,Sumatera Selatan,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
7215901210,72.73,Bengkulu,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
8215901210,80.18,Lampung,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
9215901210,74.11,Kep. Bangka Belitung,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
10215901210,79.53,Kep. Riau,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
11215901210,82.08,DKI Jakarta,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
12215901210,79.72,Jawa Barat,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
13215901210,81.15,Jawa Tengah,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
14215901210,81.21,DI Yogyakarta,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
15215901210,81.31,Jawa Timur,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
16215901210,75.93,Banten,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
17215901210,75.35,Bali,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
18215901210,72.69,Nusa Tenggara Barat,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
19215901210,73.42,Nusa Tenggara Timur,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
20215901210,74.03,Kalimantan Barat,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
21215901210,73.17,Kalimantan Tengah,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
22215901210,75.41,Kalimantan Selatan,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
23215901210,81.02,Kalimantan Timur,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
24215901210,79.38,Kalimantan Utara,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
25215901210,80.41,Sulawesi Utara,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
26215901210,77.95,Sulawesi Tengah,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
27215901210,74.85,Sulawesi Selatan,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
28215901210,77.96,Sulawesi Tenggara,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
29215901210,77.01,Gorontalo,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
30215901210,71.3,Sulawesi Barat,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
31215901210,66.76,Maluku,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
32215901210,68.82,Maluku Utara,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
33215901210,68.68,Papua Barat,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
34215901210,66.39,Papua,2021,[Metode Baru] Indeks Demokrasi Indonesia menurut Provinsi
