id,values,aspek,tahun,data_title
1216019601210,85.5,Aceh,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
1216019611210,81.41,Aceh,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
1216019621210,75.82,Aceh,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
2216019601210,88.51,Sumatera Utara,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
2216019611210,75.27,Sumatera Utara,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
2216019621210,69.63,Sumatera Utara,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
3216019601210,76.19,Sumatera Barat,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
3216019611210,79.19,Sumatera Barat,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
3216019621210,79.98,Sumatera Barat,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
4216019601210,88.4,Riau,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
4216019611210,75.88,Riau,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
4216019621210,62.83,Riau,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
5216019601210,66.5,Jambi,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
5216019611210,75.67,Jambi,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
5216019621210,75.91,Jambi,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
6216019601210,85.08,Sumatera Selatan,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
6216019611210,78.51,Sumatera Selatan,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
6216019621210,72.41,Sumatera Selatan,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
7216019601210,78.81,Bengkulu,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
7216019611210,71.89,Bengkulu,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
7216019621210,67.74,Bengkulu,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
8216019601210,76.64,Lampung,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
8216019611210,81.62,Lampung,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
8216019621210,81.96,Lampung,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
9216019601210,68.8,Kep. Bangka Belitung,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
9216019611210,77.8,Kep. Bangka Belitung,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
9216019621210,74.93,Kep. Bangka Belitung,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
10216019601210,90.91,Kep. Riau,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
10216019611210,79.61,Kep. Riau,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
10216019621210,68.21,Kep. Riau,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
11216019601210,89.27,DKI Jakarta,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
11216019611210,85.67,DKI Jakarta,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
11216019621210,70.69,DKI Jakarta,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
12216019601210,89.71,Jawa Barat,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
12216019611210,72.99,Jawa Barat,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
12216019621210,77.93,Jawa Barat,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
13216019601210,87.9,Jawa Tengah,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
13216019611210,77.68,Jawa Tengah,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
13216019621210,78.63,Jawa Tengah,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
14216019601210,74.31,DI Yogyakarta,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
14216019611210,87.29,DI Yogyakarta,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
14216019621210,80.74,DI Yogyakarta,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
15216019601210,88.11,Jawa Timur,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
15216019611210,81.14,Jawa Timur,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
15216019621210,74.81,Jawa Timur,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
16216019601210,82.26,Banten,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
16216019611210,78.48,Banten,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
16216019621210,66.65,Banten,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
17216019601210,84.62,Bali,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
17216019611210,77.25,Bali,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
17216019621210,63.92,Bali,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
18216019601210,77.41,Nusa Tenggara Barat,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
18216019611210,80.15,Nusa Tenggara Barat,2021,[Metode Baru] Aspek Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
