id,values,kuantil,tahun,data_title
129701000,26.88,ACEH,2000,Persentase Penyelesaian Tindak Pidana
129701010,29.3,ACEH,2001,Persentase Penyelesaian Tindak Pidana
129701020,28.24,ACEH,2002,Persentase Penyelesaian Tindak Pidana
129701030,13.25,ACEH,2003,Persentase Penyelesaian Tindak Pidana
129701040,10.04,ACEH,2004,Persentase Penyelesaian Tindak Pidana
129701050,6.24,ACEH,2005,Persentase Penyelesaian Tindak Pidana
129701060,32.76,ACEH,2006,Persentase Penyelesaian Tindak Pidana
129701070,45.56,ACEH,2007,Persentase Penyelesaian Tindak Pidana
129701080,69.94,ACEH,2008,Persentase Penyelesaian Tindak Pidana
129701090,46.24,ACEH,2009,Persentase Penyelesaian Tindak Pidana
129701100,38.85,ACEH,2010,Persentase Penyelesaian Tindak Pidana
129701110,43.14,ACEH,2011,Persentase Penyelesaian Tindak Pidana
129701120,42.83,ACEH,2012,Persentase Penyelesaian Tindak Pidana
129701130,32.14,ACEH,2013,Persentase Penyelesaian Tindak Pidana
129701140,32.92,ACEH,2014,Persentase Penyelesaian Tindak Pidana
129701150,31.55,ACEH,2015,Persentase Penyelesaian Tindak Pidana
129701160,42.86,ACEH,2016,Persentase Penyelesaian Tindak Pidana
129701170,27.19,ACEH,2017,Persentase Penyelesaian Tindak Pidana
129701180,38.27,ACEH,2018,Persentase Penyelesaian Tindak Pidana
129701190,35.39,ACEH,2019,Persentase Penyelesaian Tindak Pidana
129701200,37.91,ACEH,2020,Persentase Penyelesaian Tindak Pidana
129701210,56.98,ACEH,2021,Persentase Penyelesaian Tindak Pidana
229701000,51.99,SUMATERA UTARA,2000,Persentase Penyelesaian Tindak Pidana
229701010,59.6,SUMATERA UTARA,2001,Persentase Penyelesaian Tindak Pidana
229701020,61.85,SUMATERA UTARA,2002,Persentase Penyelesaian Tindak Pidana
229701030,72.81,SUMATERA UTARA,2003,Persentase Penyelesaian Tindak Pidana
229701040,79.59,SUMATERA UTARA,2004,Persentase Penyelesaian Tindak Pidana
229701050,69.82,SUMATERA UTARA,2005,Persentase Penyelesaian Tindak Pidana
229701060,63.86,SUMATERA UTARA,2006,Persentase Penyelesaian Tindak Pidana
229701070,90.6,SUMATERA UTARA,2007,Persentase Penyelesaian Tindak Pidana
229701080,87.68,SUMATERA UTARA,2008,Persentase Penyelesaian Tindak Pidana
229701090,94.74,SUMATERA UTARA,2009,Persentase Penyelesaian Tindak Pidana
229701100,58.8,SUMATERA UTARA,2010,Persentase Penyelesaian Tindak Pidana
229701110,45.62,SUMATERA UTARA,2011,Persentase Penyelesaian Tindak Pidana
229701120,42.99,SUMATERA UTARA,2012,Persentase Penyelesaian Tindak Pidana
229701130,45.96,SUMATERA UTARA,2013,Persentase Penyelesaian Tindak Pidana
229701140,51.68,SUMATERA UTARA,2014,Persentase Penyelesaian Tindak Pidana
229701150,58.94,SUMATERA UTARA,2015,Persentase Penyelesaian Tindak Pidana
229701160,62.44,SUMATERA UTARA,2016,Persentase Penyelesaian Tindak Pidana
229701170,67.3,SUMATERA UTARA,2017,Persentase Penyelesaian Tindak Pidana
229701180,68.17,SUMATERA UTARA,2018,Persentase Penyelesaian Tindak Pidana
229701190,74.91,SUMATERA UTARA,2019,Persentase Penyelesaian Tindak Pidana
229701200,68.7,SUMATERA UTARA,2020,Persentase Penyelesaian Tindak Pidana
229701210,68.37,SUMATERA UTARA,2021,Persentase Penyelesaian Tindak Pidana
329701000,43.73,SUMATERA BARAT,2000,Persentase Penyelesaian Tindak Pidana
329701010,49.85,SUMATERA BARAT,2001,Persentase Penyelesaian Tindak Pidana
329701020,52.34,SUMATERA BARAT,2002,Persentase Penyelesaian Tindak Pidana
329701030,57.05,SUMATERA BARAT,2003,Persentase Penyelesaian Tindak Pidana
329701040,57.06,SUMATERA BARAT,2004,Persentase Penyelesaian Tindak Pidana
329701050,60.11,SUMATERA BARAT,2005,Persentase Penyelesaian Tindak Pidana
329701060,60.2,SUMATERA BARAT,2006,Persentase Penyelesaian Tindak Pidana
329701070,63.05,SUMATERA BARAT,2007,Persentase Penyelesaian Tindak Pidana
329701080,62.6,SUMATERA BARAT,2008,Persentase Penyelesaian Tindak Pidana
329701090,59.12,SUMATERA BARAT,2009,Persentase Penyelesaian Tindak Pidana
329701100,47.44,SUMATERA BARAT,2010,Persentase Penyelesaian Tindak Pidana
329701110,52.47,SUMATERA BARAT,2011,Persentase Penyelesaian Tindak Pidana
329701120,47.58,SUMATERA BARAT,2012,Persentase Penyelesaian Tindak Pidana
329701130,46.03,SUMATERA BARAT,2013,Persentase Penyelesaian Tindak Pidana
329701140,46.13,SUMATERA BARAT,2014,Persentase Penyelesaian Tindak Pidana
329701150,45.78,SUMATERA BARAT,2015,Persentase Penyelesaian Tindak Pidana
329701160,43.11,SUMATERA BARAT,2016,Persentase Penyelesaian Tindak Pidana
329701170,42.88,SUMATERA BARAT,2017,Persentase Penyelesaian Tindak Pidana
329701180,45.27,SUMATERA BARAT,2018,Persentase Penyelesaian Tindak Pidana
329701190,54.19,SUMATERA BARAT,2019,Persentase Penyelesaian Tindak Pidana
329701200,83.93,SUMATERA BARAT,2020,Persentase Penyelesaian Tindak Pidana
329701210,100.0,SUMATERA BARAT,2021,Persentase Penyelesaian Tindak Pidana
429701000,53.65,RIAU,2000,Persentase Penyelesaian Tindak Pidana
429701010,52.54,RIAU,2001,Persentase Penyelesaian Tindak Pidana
429701020,58.1,RIAU,2002,Persentase Penyelesaian Tindak Pidana
429701030,53.79,RIAU,2003,Persentase Penyelesaian Tindak Pidana
429701040,58.73,RIAU,2004,Persentase Penyelesaian Tindak Pidana
429701050,61.68,RIAU,2005,Persentase Penyelesaian Tindak Pidana
429701060,56.67,RIAU,2006,Persentase Penyelesaian Tindak Pidana
429701070,56.78,RIAU,2007,Persentase Penyelesaian Tindak Pidana
429701080,55.99,RIAU,2008,Persentase Penyelesaian Tindak Pidana
429701090,44.93,RIAU,2009,Persentase Penyelesaian Tindak Pidana
429701100,34.51,RIAU,2010,Persentase Penyelesaian Tindak Pidana
429701110,46.67,RIAU,2011,Persentase Penyelesaian Tindak Pidana
429701120,36.71,RIAU,2012,Persentase Penyelesaian Tindak Pidana
429701130,45.56,RIAU,2013,Persentase Penyelesaian Tindak Pidana
429701140,42.07,RIAU,2014,Persentase Penyelesaian Tindak Pidana
429701150,56.15,RIAU,2015,Persentase Penyelesaian Tindak Pidana
429701160,53.58,RIAU,2016,Persentase Penyelesaian Tindak Pidana
429701170,54.33,RIAU,2017,Persentase Penyelesaian Tindak Pidana
429701180,51.66,RIAU,2018,Persentase Penyelesaian Tindak Pidana
429701190,44.72,RIAU,2019,Persentase Penyelesaian Tindak Pidana
429701200,38.1,RIAU,2020,Persentase Penyelesaian Tindak Pidana
429701210,77.34,RIAU,2021,Persentase Penyelesaian Tindak Pidana
529701000,67.85,JAMBI,2000,Persentase Penyelesaian Tindak Pidana
529701010,67.98,JAMBI,2001,Persentase Penyelesaian Tindak Pidana
529701020,58.49,JAMBI,2002,Persentase Penyelesaian Tindak Pidana
529701030,59.9,JAMBI,2003,Persentase Penyelesaian Tindak Pidana
529701040,61.74,JAMBI,2004,Persentase Penyelesaian Tindak Pidana
529701050,66.3,JAMBI,2005,Persentase Penyelesaian Tindak Pidana
529701060,67.45,JAMBI,2006,Persentase Penyelesaian Tindak Pidana
529701070,69.66,JAMBI,2007,Persentase Penyelesaian Tindak Pidana
529701080,70.13,JAMBI,2008,Persentase Penyelesaian Tindak Pidana
529701090,67.65,JAMBI,2009,Persentase Penyelesaian Tindak Pidana
529701100,46.99,JAMBI,2010,Persentase Penyelesaian Tindak Pidana
529701110,39.44,JAMBI,2011,Persentase Penyelesaian Tindak Pidana
529701120,55.21,JAMBI,2012,Persentase Penyelesaian Tindak Pidana
529701130,41.58,JAMBI,2013,Persentase Penyelesaian Tindak Pidana
529701140,40.47,JAMBI,2014,Persentase Penyelesaian Tindak Pidana
529701150,41.54,JAMBI,2015,Persentase Penyelesaian Tindak Pidana
529701160,53.6,JAMBI,2016,Persentase Penyelesaian Tindak Pidana
529701170,65.2,JAMBI,2017,Persentase Penyelesaian Tindak Pidana
529701180,68.86,JAMBI,2018,Persentase Penyelesaian Tindak Pidana
529701190,68.79,JAMBI,2019,Persentase Penyelesaian Tindak Pidana
529701200,85.54,JAMBI,2020,Persentase Penyelesaian Tindak Pidana
529701210,79.19,JAMBI,2021,Persentase Penyelesaian Tindak Pidana
629701000,58.82,SUMATERA SELATAN,2000,Persentase Penyelesaian Tindak Pidana
629701010,68.52,SUMATERA SELATAN,2001,Persentase Penyelesaian Tindak Pidana
629701020,52.83,SUMATERA SELATAN,2002,Persentase Penyelesaian Tindak Pidana
629701030,52.71,SUMATERA SELATAN,2003,Persentase Penyelesaian Tindak Pidana
629701040,54.24,SUMATERA SELATAN,2004,Persentase Penyelesaian Tindak Pidana
629701050,60.15,SUMATERA SELATAN,2005,Persentase Penyelesaian Tindak Pidana
629701060,45.92,SUMATERA SELATAN,2006,Persentase Penyelesaian Tindak Pidana
629701070,51.24,SUMATERA SELATAN,2007,Persentase Penyelesaian Tindak Pidana
629701080,65.18,SUMATERA SELATAN,2008,Persentase Penyelesaian Tindak Pidana
629701090,49.28,SUMATERA SELATAN,2009,Persentase Penyelesaian Tindak Pidana
629701100,37.67,SUMATERA SELATAN,2010,Persentase Penyelesaian Tindak Pidana
629701110,38.63,SUMATERA SELATAN,2011,Persentase Penyelesaian Tindak Pidana
629701120,31.17,SUMATERA SELATAN,2012,Persentase Penyelesaian Tindak Pidana
629701130,34.11,SUMATERA SELATAN,2013,Persentase Penyelesaian Tindak Pidana
629701140,37.06,SUMATERA SELATAN,2014,Persentase Penyelesaian Tindak Pidana
629701150,45.01,SUMATERA SELATAN,2015,Persentase Penyelesaian Tindak Pidana
629701160,43.47,SUMATERA SELATAN,2016,Persentase Penyelesaian Tindak Pidana
629701170,66.85,SUMATERA SELATAN,2017,Persentase Penyelesaian Tindak Pidana
629701180,74.82,SUMATERA SELATAN,2018,Persentase Penyelesaian Tindak Pidana
629701190,69.22,SUMATERA SELATAN,2019,Persentase Penyelesaian Tindak Pidana
629701200,76.76,SUMATERA SELATAN,2020,Persentase Penyelesaian Tindak Pidana
629701210,74.0,SUMATERA SELATAN,2021,Persentase Penyelesaian Tindak Pidana
729701000,74.81,BENGKULU,2000,Persentase Penyelesaian Tindak Pidana
729701010,68.64,BENGKULU,2001,Persentase Penyelesaian Tindak Pidana
729701020,80.94,BENGKULU,2002,Persentase Penyelesaian Tindak Pidana
729701030,59.28,BENGKULU,2003,Persentase Penyelesaian Tindak Pidana
729701040,52.39,BENGKULU,2004,Persentase Penyelesaian Tindak Pidana
729701050,43.0,BENGKULU,2005,Persentase Penyelesaian Tindak Pidana
729701060,49.94,BENGKULU,2006,Persentase Penyelesaian Tindak Pidana
729701070,42.52,BENGKULU,2007,Persentase Penyelesaian Tindak Pidana
729701080,46.78,BENGKULU,2008,Persentase Penyelesaian Tindak Pidana
729701090,43.79,BENGKULU,2009,Persentase Penyelesaian Tindak Pidana
729701100,62.42,BENGKULU,2010,Persentase Penyelesaian Tindak Pidana
729701110,47.4,BENGKULU,2011,Persentase Penyelesaian Tindak Pidana
729701120,77.86,BENGKULU,2012,Persentase Penyelesaian Tindak Pidana
729701130,52.42,BENGKULU,2013,Persentase Penyelesaian Tindak Pidana
729701140,55.24,BENGKULU,2014,Persentase Penyelesaian Tindak Pidana
729701150,44.75,BENGKULU,2015,Persentase Penyelesaian Tindak Pidana
729701160,48.59,BENGKULU,2016,Persentase Penyelesaian Tindak Pidana
729701170,49.72,BENGKULU,2017,Persentase Penyelesaian Tindak Pidana
729701180,83.59,BENGKULU,2018,Persentase Penyelesaian Tindak Pidana
729701190,67.54,BENGKULU,2019,Persentase Penyelesaian Tindak Pidana
729701200,68.35,BENGKULU,2020,Persentase Penyelesaian Tindak Pidana
729701210,46.81,BENGKULU,2021,Persentase Penyelesaian Tindak Pidana
829701000,71.46,LAMPUNG,2000,Persentase Penyelesaian Tindak Pidana
829701010,88.96,LAMPUNG,2001,Persentase Penyelesaian Tindak Pidana
829701020,79.64,LAMPUNG,2002,Persentase Penyelesaian Tindak Pidana
829701030,58.34,LAMPUNG,2003,Persentase Penyelesaian Tindak Pidana
829701040,67.58,LAMPUNG,2004,Persentase Penyelesaian Tindak Pidana
829701050,89.28,LAMPUNG,2005,Persentase Penyelesaian Tindak Pidana
829701060,98.83,LAMPUNG,2006,Persentase Penyelesaian Tindak Pidana
829701070,101.23,LAMPUNG,2007,Persentase Penyelesaian Tindak Pidana
829701080,99.93,LAMPUNG,2008,Persentase Penyelesaian Tindak Pidana
829701090,101.5,LAMPUNG,2009,Persentase Penyelesaian Tindak Pidana
829701100,64.35,LAMPUNG,2010,Persentase Penyelesaian Tindak Pidana
829701110,20.34,LAMPUNG,2011,Persentase Penyelesaian Tindak Pidana
829701120,24.25,LAMPUNG,2012,Persentase Penyelesaian Tindak Pidana
829701130,11.72,LAMPUNG,2013,Persentase Penyelesaian Tindak Pidana
829701140,58.9,LAMPUNG,2014,Persentase Penyelesaian Tindak Pidana
829701150,69.57,LAMPUNG,2015,Persentase Penyelesaian Tindak Pidana
829701160,69.25,LAMPUNG,2016,Persentase Penyelesaian Tindak Pidana
829701170,68.88,LAMPUNG,2017,Persentase Penyelesaian Tindak Pidana
829701180,71.84,LAMPUNG,2018,Persentase Penyelesaian Tindak Pidana
829701190,75.44,LAMPUNG,2019,Persentase Penyelesaian Tindak Pidana
829701200,64.17,LAMPUNG,2020,Persentase Penyelesaian Tindak Pidana
829701210,64.32,LAMPUNG,2021,Persentase Penyelesaian Tindak Pidana
929701050,68.72,KEP. BANGKA BELITUNG,2005,Persentase Penyelesaian Tindak Pidana
