id,values,dimensi,tahun,jenis_kelamin,data_title
15925831120,3.59,Indeks Persepsi,2012,Laki-Laki,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
15925831130,3.7,Indeks Persepsi,2013,Laki-Laki,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
15925831140,3.76,Indeks Persepsi,2014,Laki-Laki,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
15925831150,3.78,Indeks Persepsi,2015,Laki-Laki,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
15925841120,3.51,Indeks Persepsi,2012,Perempuan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
15925841130,3.62,Indeks Persepsi,2013,Perempuan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
15925841140,3.68,Indeks Persepsi,2014,Perempuan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
15925841150,3.68,Indeks Persepsi,2015,Perempuan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
15925851120,3.54,Indeks Persepsi,2012,Jumlah ,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
15925851130,3.66,Indeks Persepsi,2013,Jumlah ,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
15925851140,3.71,Indeks Persepsi,2014,Jumlah ,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
15925851150,3.73,Indeks Persepsi,2015,Jumlah ,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
25925831120,3.6,Indeks Pengalaman,2012,Laki-Laki,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
25925831130,3.6,Indeks Pengalaman,2013,Laki-Laki,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
25925831140,3.5,Indeks Pengalaman,2014,Laki-Laki,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
25925831150,3.43,Indeks Pengalaman,2015,Laki-Laki,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
25925841120,3.56,Indeks Pengalaman,2012,Perempuan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
25925841130,3.57,Indeks Pengalaman,2013,Perempuan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
25925841140,3.48,Indeks Pengalaman,2014,Perempuan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
25925841150,3.36,Indeks Pengalaman,2015,Perempuan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
25925851120,3.58,Indeks Pengalaman,2012,Jumlah ,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
25925851130,3.58,Indeks Pengalaman,2013,Jumlah ,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
25925851140,3.49,Indeks Pengalaman,2014,Jumlah ,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
25925851150,3.39,Indeks Pengalaman,2015,Jumlah ,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
35925831120,3.59,IPAK,2012,Laki-Laki,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
35925831130,3.66,IPAK,2013,Laki-Laki,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
35925831140,3.64,IPAK,2014,Laki-Laki,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
35925831150,3.63,IPAK,2015,Laki-Laki,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
35925841120,3.53,IPAK,2012,Perempuan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
35925841130,3.6,IPAK,2013,Perempuan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
35925841140,3.59,IPAK,2014,Perempuan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
35925841150,3.55,IPAK,2015,Perempuan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
35925851120,3.55,IPAK,2012,Jumlah ,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
35925851130,3.63,IPAK,2013,Jumlah ,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
35925851140,3.61,IPAK,2014,Jumlah ,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
35925851150,3.59,IPAK,2015,Jumlah ,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenis Kelamin
