id,values,dimensi,segmen,data_title
15947731120,3.59,Indeks Persepsi,&lt; 40 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
15947731130,3.7,Indeks Persepsi,&lt; 40 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
15947731140,3.76,Indeks Persepsi,&lt; 40 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
15947731150,3.79,Indeks Persepsi,&lt; 40 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
15947741120,3.56,Indeks Persepsi,40-59 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
15947741130,3.68,Indeks Persepsi,40-59 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
15947741140,3.72,Indeks Persepsi,40-59 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
15947741150,3.74,Indeks Persepsi,40-59 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
15947751120,3.43,Indeks Persepsi,&gt;= 60 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
15947751130,3.53,Indeks Persepsi,&gt;= 60 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
15947751140,3.61,Indeks Persepsi,&gt;= 60 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
15947751150,3.6,Indeks Persepsi,&gt;= 60 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
15947761120,3.54,Indeks Persepsi,Jumlah,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
15947761130,3.66,Indeks Persepsi,Jumlah,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
15947761140,3.71,Indeks Persepsi,Jumlah,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
15947761150,3.73,Indeks Persepsi,Jumlah,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
25947731120,3.56,Indeks Pengalaman,&lt; 40 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
25947731130,3.55,Indeks Pengalaman,&lt; 40 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
25947731140,3.47,Indeks Pengalaman,&lt; 40 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
25947731150,3.35,Indeks Pengalaman,&lt; 40 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
25947741120,3.61,Indeks Pengalaman,40-59 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
25947741130,3.61,Indeks Pengalaman,40-59 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
25947741140,3.52,Indeks Pengalaman,40-59 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
25947741150,3.44,Indeks Pengalaman,40-59 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
25947751120,3.51,Indeks Pengalaman,&gt;= 60 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
25947751130,3.58,Indeks Pengalaman,&gt;= 60 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
25947751140,3.44,Indeks Pengalaman,&gt;= 60 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
25947751150,3.32,Indeks Pengalaman,&gt;= 60 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
25947761120,3.58,Indeks Pengalaman,Jumlah,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
25947761130,3.58,Indeks Pengalaman,Jumlah,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
25947761140,3.49,Indeks Pengalaman,Jumlah,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
25947761150,3.39,Indeks Pengalaman,Jumlah,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
35947731120,3.57,IPAK,&lt; 40 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
35947731130,3.63,IPAK,&lt; 40 Tahun,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Kelompok Umur
