id,values,status,tahun,data_title
160701130,64.99,Belum Menikah,2013,Indeks Kebahagiaan Menurut Status Perkawinan
160701140,68.77,Belum Menikah,2014,Indeks Kebahagiaan Menurut Status Perkawinan
160701170,71.53,Belum Menikah,2017,Indeks Kebahagiaan Menurut Status Perkawinan
160701210,71.58,Belum Menikah,2021,Indeks Kebahagiaan Menurut Status Perkawinan
260701130,65.31,Menikah,2013,Indeks Kebahagiaan Menurut Status Perkawinan
260701140,68.74,Menikah,2014,Indeks Kebahagiaan Menurut Status Perkawinan
260701170,71.09,Menikah,2017,Indeks Kebahagiaan Menurut Status Perkawinan
260701210,72.1,Menikah,2021,Indeks Kebahagiaan Menurut Status Perkawinan
360701130,60.55,Cerai Hidup,2013,Indeks Kebahagiaan Menurut Status Perkawinan
360701140,65.04,Cerai Hidup,2014,Indeks Kebahagiaan Menurut Status Perkawinan
360701170,67.83,Cerai Hidup,2017,Indeks Kebahagiaan Menurut Status Perkawinan
360701210,68.03,Cerai Hidup,2021,Indeks Kebahagiaan Menurut Status Perkawinan
460701130,63.49,Cerai Mati,2013,Indeks Kebahagiaan Menurut Status Perkawinan
460701140,65.8,Cerai Mati,2014,Indeks Kebahagiaan Menurut Status Perkawinan
460701170,68.37,Cerai Mati,2017,Indeks Kebahagiaan Menurut Status Perkawinan
460701210,68.55,Cerai Mati,2021,Indeks Kebahagiaan Menurut Status Perkawinan
