id,values,kelompok_umur,tahun,data_title
161301130,62.32,1,2013,Indeks Kebahagiaan Menurut Jumlah Anggota Rumah Tangga
161301140,65.59,1,2014,Indeks Kebahagiaan Menurut Jumlah Anggota Rumah Tangga
161301170,69.1,1,2017,Indeks Kebahagiaan Menurut Jumlah Anggota Rumah Tangga
161301210,68.19,1,2021,Indeks Kebahagiaan Menurut Jumlah Anggota Rumah Tangga
261301130,64.52,2,2013,Indeks Kebahagiaan Menurut Jumlah Anggota Rumah Tangga
261301140,67.52,2,2014,Indeks Kebahagiaan Menurut Jumlah Anggota Rumah Tangga
261301170,70.12,2,2017,Indeks Kebahagiaan Menurut Jumlah Anggota Rumah Tangga
261301210,70.95,2,2021,Indeks Kebahagiaan Menurut Jumlah Anggota Rumah Tangga
361301130,65.66,3,2013,Indeks Kebahagiaan Menurut Jumlah Anggota Rumah Tangga
361301140,68.44,3,2014,Indeks Kebahagiaan Menurut Jumlah Anggota Rumah Tangga
361301170,70.83,3,2017,Indeks Kebahagiaan Menurut Jumlah Anggota Rumah Tangga
361301210,71.63,3,2021,Indeks Kebahagiaan Menurut Jumlah Anggota Rumah Tangga
461301130,65.9,4,2013,Indeks Kebahagiaan Menurut Jumlah Anggota Rumah Tangga
461301140,68.97,4,2014,Indeks Kebahagiaan Menurut Jumlah Anggota Rumah Tangga
461301170,71.2,4,2017,Indeks Kebahagiaan Menurut Jumlah Anggota Rumah Tangga
461301210,72.06,4,2021,Indeks Kebahagiaan Menurut Jumlah Anggota Rumah Tangga
561301130,64.53,5 atau lebih,2013,Indeks Kebahagiaan Menurut Jumlah Anggota Rumah Tangga
561301140,68.5,5 atau lebih,2014,Indeks Kebahagiaan Menurut Jumlah Anggota Rumah Tangga
561301170,70.79,5 atau lebih,2017,Indeks Kebahagiaan Menurut Jumlah Anggota Rumah Tangga
561301210,72.05,5 atau lebih,2021,Indeks Kebahagiaan Menurut Jumlah Anggota Rumah Tangga
