id,values,provinsi,tahun,dimensi,data_title
99996308111170,71.21,INDONESIA,2017,Kemandirian,Dimensi Makna Hidup Indeks Kebahagiaan
99996308111210,73.56,INDONESIA,2021,Kemandirian,Dimensi Makna Hidup Indeks Kebahagiaan
99996308121170,73.6,INDONESIA,2017,Penguasaan Lingkungan,Dimensi Makna Hidup Indeks Kebahagiaan
99996308121210,74.52,INDONESIA,2021,Penguasaan Lingkungan,Dimensi Makna Hidup Indeks Kebahagiaan
99996308131170,64.15,INDONESIA,2017,Pengembangan Diri,Dimensi Makna Hidup Indeks Kebahagiaan
99996308131210,66.09,INDONESIA,2021,Pengembangan Diri,Dimensi Makna Hidup Indeks Kebahagiaan
99996308141170,71.93,INDONESIA,2017,Hubungan Positif Dengan Orang Lain,Dimensi Makna Hidup Indeks Kebahagiaan
99996308141210,72.16,INDONESIA,2021,Hubungan Positif Dengan Orang Lain,Dimensi Makna Hidup Indeks Kebahagiaan
99996308151170,75.83,INDONESIA,2017,Tujuan Hidup ,Dimensi Makna Hidup Indeks Kebahagiaan
99996308151210,75.33,INDONESIA,2021,Tujuan Hidup ,Dimensi Makna Hidup Indeks Kebahagiaan
99996308161170,75.62,INDONESIA,2017,Penerimaan Diri ,Dimensi Makna Hidup Indeks Kebahagiaan
99996308161210,76.15,INDONESIA,2021,Penerimaan Diri ,Dimensi Makna Hidup Indeks Kebahagiaan
99996308171170,72.23,INDONESIA,2017,Dimensi Makna Hidup (Total),Dimensi Makna Hidup Indeks Kebahagiaan
99996308171210,73.12,INDONESIA,2021,Dimensi Makna Hidup (Total),Dimensi Makna Hidup Indeks Kebahagiaan
11006308111170,73.18,ACEH,2017,Kemandirian,Dimensi Makna Hidup Indeks Kebahagiaan
11006308111210,75.3,ACEH,2021,Kemandirian,Dimensi Makna Hidup Indeks Kebahagiaan
11006308121170,74.89,ACEH,2017,Penguasaan Lingkungan,Dimensi Makna Hidup Indeks Kebahagiaan
11006308121210,74.71,ACEH,2021,Penguasaan Lingkungan,Dimensi Makna Hidup Indeks Kebahagiaan
11006308131170,66.36,ACEH,2017,Pengembangan Diri,Dimensi Makna Hidup Indeks Kebahagiaan
11006308131210,67.18,ACEH,2021,Pengembangan Diri,Dimensi Makna Hidup Indeks Kebahagiaan
11006308141170,75.01,ACEH,2017,Hubungan Positif Dengan Orang Lain,Dimensi Makna Hidup Indeks Kebahagiaan
11006308141210,73.07,ACEH,2021,Hubungan Positif Dengan Orang Lain,Dimensi Makna Hidup Indeks Kebahagiaan
11006308151170,76.39,ACEH,2017,Tujuan Hidup ,Dimensi Makna Hidup Indeks Kebahagiaan
11006308151210,74.21,ACEH,2021,Tujuan Hidup ,Dimensi Makna Hidup Indeks Kebahagiaan
11006308161170,77.66,ACEH,2017,Penerimaan Diri ,Dimensi Makna Hidup Indeks Kebahagiaan
11006308161210,77.25,ACEH,2021,Penerimaan Diri ,Dimensi Makna Hidup Indeks Kebahagiaan
11006308171170,74.05,ACEH,2017,Dimensi Makna Hidup (Total),Dimensi Makna Hidup Indeks Kebahagiaan
11006308171210,73.74,ACEH,2021,Dimensi Makna Hidup (Total),Dimensi Makna Hidup Indeks Kebahagiaan
12006308111170,70.28,SUMATERA UTARA,2017,Kemandirian,Dimensi Makna Hidup Indeks Kebahagiaan
12006308111210,74.58,SUMATERA UTARA,2021,Kemandirian,Dimensi Makna Hidup Indeks Kebahagiaan
12006308121170,73.08,SUMATERA UTARA,2017,Penguasaan Lingkungan,Dimensi Makna Hidup Indeks Kebahagiaan
12006308121210,74.8,SUMATERA UTARA,2021,Penguasaan Lingkungan,Dimensi Makna Hidup Indeks Kebahagiaan
12006308131170,63.64,SUMATERA UTARA,2017,Pengembangan Diri,Dimensi Makna Hidup Indeks Kebahagiaan
12006308131210,63.7,SUMATERA UTARA,2021,Pengembangan Diri,Dimensi Makna Hidup Indeks Kebahagiaan
12006308141170,72.51,SUMATERA UTARA,2017,Hubungan Positif Dengan Orang Lain,Dimensi Makna Hidup Indeks Kebahagiaan
12006308141210,72.04,SUMATERA UTARA,2021,Hubungan Positif Dengan Orang Lain,Dimensi Makna Hidup Indeks Kebahagiaan
12006308151170,75.03,SUMATERA UTARA,2017,Tujuan Hidup ,Dimensi Makna Hidup Indeks Kebahagiaan
12006308151210,74.38,SUMATERA UTARA,2021,Tujuan Hidup ,Dimensi Makna Hidup Indeks Kebahagiaan
