id,values,dimensi,tahun,data_title
163501120,3.54,Indeks Persepsi,2012,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
163501130,3.66,Indeks Persepsi,2013,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
163501140,3.71,Indeks Persepsi,2014,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
163501150,3.73,Indeks Persepsi,2015,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
163501170,3.81,Indeks Persepsi,2017,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
163501180,3.86,Indeks Persepsi,2018,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
163501190,3.8,Indeks Persepsi,2019,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
163501200,3.68,Indeks Persepsi,2020,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
163501210,3.83,Indeks Persepsi,2021,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
163501220,3.8,Indeks Persepsi,2022,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
263501120,3.58,Indeks Pengalaman,2012,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
263501130,3.58,Indeks Pengalaman,2013,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
263501140,3.49,Indeks Pengalaman,2014,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
263501150,3.39,Indeks Pengalaman,2015,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
263501170,3.6,Indeks Pengalaman,2017,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
263501180,3.57,Indeks Pengalaman,2018,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
263501190,3.65,Indeks Pengalaman,2019,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
263501200,3.91,Indeks Pengalaman,2020,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
263501210,3.9,Indeks Pengalaman,2021,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
263501220,3.99,Indeks Pengalaman,2022,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
363501120,3.55,IPAK,2012,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
363501130,3.63,IPAK,2013,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
363501140,3.61,IPAK,2014,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
363501150,3.59,IPAK,2015,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
363501170,3.71,IPAK,2017,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
363501180,3.66,IPAK,2018,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
363501190,3.7,IPAK,2019,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
363501200,3.84,IPAK,2020,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
363501210,3.88,IPAK,2021,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
363501220,3.93,IPAK,2022,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi
