id,values,variabel,tahun,data_title
163701090,91.44,Kebebasan Berkumpul dan Berserikat,2009,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
163701100,85.21,Kebebasan Berkumpul dan Berserikat,2010,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
163701110,91.7,Kebebasan Berkumpul dan Berserikat,2011,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
163701120,80.28,Kebebasan Berkumpul dan Berserikat,2012,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
163701130,86.06,Kebebasan Berkumpul dan Berserikat,2013,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
163701140,81.88,Kebebasan Berkumpul dan Berserikat,2014,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
163701150,86.65,Kebebasan Berkumpul dan Berserikat,2015,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
163701160,82.79,Kebebasan Berkumpul dan Berserikat,2016,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
163701170,79.16,Kebebasan Berkumpul dan Berserikat,2017,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
163701180,82.35,Kebebasan Berkumpul dan Berserikat,2018,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
163701190,78.03,Kebebasan Berkumpul dan Berserikat,2019,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
163701200,86.79,Kebebasan Berkumpul dan Berserikat,2020,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
263701090,83.97,Kebebasan Berpendapat,2009,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
263701100,70.35,Kebebasan Berpendapat,2010,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
263701110,64.96,Kebebasan Berpendapat,2011,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
263701120,61.86,Kebebasan Berpendapat,2012,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
263701130,69.15,Kebebasan Berpendapat,2013,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
263701140,67.51,Kebebasan Berpendapat,2014,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
263701150,62.21,Kebebasan Berpendapat,2015,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
263701160,72.17,Kebebasan Berpendapat,2016,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
263701170,65.97,Kebebasan Berpendapat,2017,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
263701180,66.17,Kebebasan Berpendapat,2018,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
263701190,64.29,Kebebasan Berpendapat,2019,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
263701200,56.06,Kebebasan Berpendapat,2020,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
363701090,90.67,Kebebasan Berkeyakinan,2009,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
363701100,89.17,Kebebasan Berkeyakinan,2010,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
363701110,84.8,Kebebasan Berkeyakinan,2011,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
363701120,83.79,Kebebasan Berkeyakinan,2012,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
363701130,81.13,Kebebasan Berkeyakinan,2013,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
363701140,83.13,Kebebasan Berkeyakinan,2014,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
363701150,80.5,Kebebasan Berkeyakinan,2015,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
363701160,81.69,Kebebasan Berkeyakinan,2016,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
363701170,84.28,Kebebasan Berkeyakinan,2017,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
363701180,82.86,Kebebasan Berkeyakinan,2018,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
363701190,83.03,Kebebasan Berkeyakinan,2019,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
363701200,86.57,Kebebasan Berkeyakinan,2020,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
463701090,88.92,Kebebasan dari Diskriminasi,2009,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
463701100,88.31,Kebebasan dari Diskriminasi,2010,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
463701110,89.49,Kebebasan dari Diskriminasi,2011,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
463701120,84.7,Kebebasan dari Diskriminasi,2012,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
463701130,86.22,Kebebasan dari Diskriminasi,2013,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
463701140,86.71,Kebebasan dari Diskriminasi,2014,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
463701150,87.6,Kebebasan dari Diskriminasi,2015,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
463701160,87.43,Kebebasan dari Diskriminasi,2016,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
463701170,90.74,Kebebasan dari Diskriminasi,2017,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
463701180,91.77,Kebebasan dari Diskriminasi,2018,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
463701190,92.35,Kebebasan dari Diskriminasi,2019,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
463701200,90.88,Kebebasan dari Diskriminasi,2020,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
563701090,50.05,Hak Memilih dan Dipilih,2009,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
563701100,49.98,Hak Memilih dan Dipilih,2010,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
563701110,50.11,Hak Memilih dan Dipilih,2011,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
563701120,50.26,Hak Memilih dan Dipilih,2012,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
563701130,50.31,Hak Memilih dan Dipilih,2013,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
563701140,75.76,Hak Memilih dan Dipilih,2014,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
563701150,75.26,Hak Memilih dan Dipilih,2015,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
563701160,75.26,Hak Memilih dan Dipilih,2016,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
563701170,75.55,Hak Memilih dan Dipilih,2017,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
563701180,75.77,Hak Memilih dan Dipilih,2018,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
563701190,79.27,Hak Memilih dan Dipilih,2019,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
563701200,79.41,Hak Memilih dan Dipilih,2020,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
663701090,55.16,Partisipasi Politik dalam Pengambilan Keputusan dan Pengawasan,2009,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
663701100,48.32,Partisipasi Politik dalam Pengambilan Keputusan dan Pengawasan,2010,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
663701110,45.97,Partisipasi Politik dalam Pengambilan Keputusan dan Pengawasan,2011,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
663701120,44.52,Partisipasi Politik dalam Pengambilan Keputusan dan Pengawasan,2012,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
663701130,45.61,Partisipasi Politik dalam Pengambilan Keputusan dan Pengawasan,2013,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
663701140,50.28,Partisipasi Politik dalam Pengambilan Keputusan dan Pengawasan,2014,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
663701150,60.59,Partisipasi Politik dalam Pengambilan Keputusan dan Pengawasan,2015,Indeks Demokrasi Indonesia (IDI) Menurut Variabel
