id,values,proporsi,tahun,data_title
1119101140,3247.0,Jumlah Overstaying (A1+A2+A3+A4+A5) des,2014,Proporsi tahanan yang melebihi masa penahanan terhadap seluruh jumlah tahanan
1119101150,1596.0,Jumlah Overstaying (A1+A2+A3+A4+A5) des,2015,Proporsi tahanan yang melebihi masa penahanan terhadap seluruh jumlah tahanan
1119101160,1906.0,Jumlah Overstaying (A1+A2+A3+A4+A5) des,2016,Proporsi tahanan yang melebihi masa penahanan terhadap seluruh jumlah tahanan
1119101170,2075.0,Jumlah Overstaying (A1+A2+A3+A4+A5) des,2017,Proporsi tahanan yang melebihi masa penahanan terhadap seluruh jumlah tahanan
1119101180,2355.0,Jumlah Overstaying (A1+A2+A3+A4+A5) des,2018,Proporsi tahanan yang melebihi masa penahanan terhadap seluruh jumlah tahanan
1119101190,5964.0,Jumlah Overstaying (A1+A2+A3+A4+A5) des,2019,Proporsi tahanan yang melebihi masa penahanan terhadap seluruh jumlah tahanan
2119101140,52935.0,Jumlah tahanan,2014,Proporsi tahanan yang melebihi masa penahanan terhadap seluruh jumlah tahanan
2119101150,57547.0,Jumlah tahanan,2015,Proporsi tahanan yang melebihi masa penahanan terhadap seluruh jumlah tahanan
2119101160,65544.0,Jumlah tahanan,2016,Proporsi tahanan yang melebihi masa penahanan terhadap seluruh jumlah tahanan
2119101170,70736.0,Jumlah tahanan,2017,Proporsi tahanan yang melebihi masa penahanan terhadap seluruh jumlah tahanan
2119101180,72106.0,Jumlah tahanan,2018,Proporsi tahanan yang melebihi masa penahanan terhadap seluruh jumlah tahanan
2119101190,67468.0,Jumlah tahanan,2019,Proporsi tahanan yang melebihi masa penahanan terhadap seluruh jumlah tahanan
3119101140,6.13,Proporsi,2014,Proporsi tahanan yang melebihi masa penahanan terhadap seluruh jumlah tahanan
3119101150,2.77,Proporsi,2015,Proporsi tahanan yang melebihi masa penahanan terhadap seluruh jumlah tahanan
3119101160,2.91,Proporsi,2016,Proporsi tahanan yang melebihi masa penahanan terhadap seluruh jumlah tahanan
3119101170,2.93,Proporsi,2017,Proporsi tahanan yang melebihi masa penahanan terhadap seluruh jumlah tahanan
3119101180,3.27,Proporsi,2018,Proporsi tahanan yang melebihi masa penahanan terhadap seluruh jumlah tahanan
3119101190,8.84,Proporsi,2019,Proporsi tahanan yang melebihi masa penahanan terhadap seluruh jumlah tahanan
