id,values,variabel,tahun,data_title
1130901150,0.06,Laki - Laki,2015,Proporsi Penduduk Yang Menjadi Korban Kejahatan Kekerasan Dalam 12 Bulan Terakhir Menurut Jenis Kelamin
1130901160,0.07,Laki - Laki,2016,Proporsi Penduduk Yang Menjadi Korban Kejahatan Kekerasan Dalam 12 Bulan Terakhir Menurut Jenis Kelamin
1130901170,0.1,Laki - Laki,2017,Proporsi Penduduk Yang Menjadi Korban Kejahatan Kekerasan Dalam 12 Bulan Terakhir Menurut Jenis Kelamin
1130901180,0.08,Laki - Laki,2018,Proporsi Penduduk Yang Menjadi Korban Kejahatan Kekerasan Dalam 12 Bulan Terakhir Menurut Jenis Kelamin
1130901190,0.07,Laki - Laki,2019,Proporsi Penduduk Yang Menjadi Korban Kejahatan Kekerasan Dalam 12 Bulan Terakhir Menurut Jenis Kelamin
1130901200,0.05,Laki - Laki,2020,Proporsi Penduduk Yang Menjadi Korban Kejahatan Kekerasan Dalam 12 Bulan Terakhir Menurut Jenis Kelamin
2130901150,0.04,Perempuan,2015,Proporsi Penduduk Yang Menjadi Korban Kejahatan Kekerasan Dalam 12 Bulan Terakhir Menurut Jenis Kelamin
2130901160,0.05,Perempuan,2016,Proporsi Penduduk Yang Menjadi Korban Kejahatan Kekerasan Dalam 12 Bulan Terakhir Menurut Jenis Kelamin
2130901170,0.09,Perempuan,2017,Proporsi Penduduk Yang Menjadi Korban Kejahatan Kekerasan Dalam 12 Bulan Terakhir Menurut Jenis Kelamin
2130901180,0.07,Perempuan,2018,Proporsi Penduduk Yang Menjadi Korban Kejahatan Kekerasan Dalam 12 Bulan Terakhir Menurut Jenis Kelamin
2130901190,0.05,Perempuan,2019,Proporsi Penduduk Yang Menjadi Korban Kejahatan Kekerasan Dalam 12 Bulan Terakhir Menurut Jenis Kelamin
2130901200,0.04,Perempuan,2020,Proporsi Penduduk Yang Menjadi Korban Kejahatan Kekerasan Dalam 12 Bulan Terakhir Menurut Jenis Kelamin
