id,values,provinsi,tahun,data_title
9999131201140,73.57,INDONESIA,2014,"Proporsi Penduduk Yang Merasa Aman Berjalan Sendirian Di Area Tempat Tinggalnya
"
9999131201170,53.32,INDONESIA,2017,"Proporsi Penduduk Yang Merasa Aman Berjalan Sendirian Di Area Tempat Tinggalnya
"
9999131201200,62.62,INDONESIA,2020,"Proporsi Penduduk Yang Merasa Aman Berjalan Sendirian Di Area Tempat Tinggalnya
"
1100131201140,75.37,ACEH,2014,"Proporsi Penduduk Yang Merasa Aman Berjalan Sendirian Di Area Tempat Tinggalnya
"
1100131201170,50.93,ACEH,2017,"Proporsi Penduduk Yang Merasa Aman Berjalan Sendirian Di Area Tempat Tinggalnya
"
1100131201200,61.17,ACEH,2020,"Proporsi Penduduk Yang Merasa Aman Berjalan Sendirian Di Area Tempat Tinggalnya
"
1200131201140,73.96,SUMATERA UTARA,2014,"Proporsi Penduduk Yang Merasa Aman Berjalan Sendirian Di Area Tempat Tinggalnya
"
1200131201170,50.62,SUMATERA UTARA,2017,"Proporsi Penduduk Yang Merasa Aman Berjalan Sendirian Di Area Tempat Tinggalnya
"
1200131201200,53.94,SUMATERA UTARA,2020,"Proporsi Penduduk Yang Merasa Aman Berjalan Sendirian Di Area Tempat Tinggalnya
"
1300131201140,68.47,SUMATERA BARAT,2014,"Proporsi Penduduk Yang Merasa Aman Berjalan Sendirian Di Area Tempat Tinggalnya
"
1300131201170,43.32,SUMATERA BARAT,2017,"Proporsi Penduduk Yang Merasa Aman Berjalan Sendirian Di Area Tempat Tinggalnya
"
1300131201200,57.76,SUMATERA BARAT,2020,"Proporsi Penduduk Yang Merasa Aman Berjalan Sendirian Di Area Tempat Tinggalnya
"
1400131201140,69.66,RIAU,2014,"Proporsi Penduduk Yang Merasa Aman Berjalan Sendirian Di Area Tempat Tinggalnya
"
1400131201170,51.15,RIAU,2017,"Proporsi Penduduk Yang Merasa Aman Berjalan Sendirian Di Area Tempat Tinggalnya
"
1400131201200,64.8,RIAU,2020,"Proporsi Penduduk Yang Merasa Aman Berjalan Sendirian Di Area Tempat Tinggalnya
"
1500131201140,73.08,JAMBI,2014,"Proporsi Penduduk Yang Merasa Aman Berjalan Sendirian Di Area Tempat Tinggalnya
"
1500131201170,54.9,JAMBI,2017,"Proporsi Penduduk Yang Merasa Aman Berjalan Sendirian Di Area Tempat Tinggalnya
"
1500131201200,65.56,JAMBI,2020,"Proporsi Penduduk Yang Merasa Aman Berjalan Sendirian Di Area Tempat Tinggalnya
"
1600131201140,69.0,SUMATERA SELATAN,2014,"Proporsi Penduduk Yang Merasa Aman Berjalan Sendirian Di Area Tempat Tinggalnya
"
1600131201170,52.35,SUMATERA SELATAN,2017,"Proporsi Penduduk Yang Merasa Aman Berjalan Sendirian Di Area Tempat Tinggalnya
"
1600131201200,70.82,SUMATERA SELATAN,2020,"Proporsi Penduduk Yang Merasa Aman Berjalan Sendirian Di Area Tempat Tinggalnya
"
1700131201140,78.12,BENGKULU,2014,"Proporsi Penduduk Yang Merasa Aman Berjalan Sendirian Di Area Tempat Tinggalnya
"
1700131201170,66.47,BENGKULU,2017,"Proporsi Penduduk Yang Merasa Aman Berjalan Sendirian Di Area Tempat Tinggalnya
"
