id,values,kelompok_umur,tahun,data_title
1149901120,3.57,&lt; 40 Tahun,2012,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
1149901130,3.63,&lt; 40 Tahun,2013,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
1149901140,3.63,&lt; 40 Tahun,2014,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
1149901150,3.59,&lt; 40 Tahun,2015,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
1149901170,3.71,&lt; 40 Tahun,2017,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
1149901180,3.65,&lt; 40 Tahun,2018,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
1149901190,3.66,&lt; 40 Tahun,2019,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
1149901200,3.85,&lt; 40 Tahun,2020,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
1149901210,3.89,&lt; 40 Tahun,2021,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
1149901220,3.93,&lt; 40 Tahun,2022,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
2149901120,3.58,40-59 Tahun,2012,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
2149901130,3.65,40-59 Tahun,2013,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
2149901140,3.64,40-59 Tahun,2014,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
2149901150,3.62,40-59 Tahun,2015,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
2149901170,3.74,40-59 Tahun,2017,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
2149901180,3.7,40-59 Tahun,2018,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
2149901190,3.74,40-59 Tahun,2019,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
2149901200,3.84,40-59 Tahun,2020,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
2149901210,3.88,40-59 Tahun,2021,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
2149901220,3.93,40-59 Tahun,2022,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
3149901120,3.45,&gt;= 60 Tahun,2012,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
3149901130,3.55,&gt;= 60 Tahun,2013,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
3149901140,3.54,&gt;= 60 Tahun,2014,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
3149901150,3.49,&gt;= 60 Tahun,2015,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
3149901170,3.62,&gt;= 60 Tahun,2017,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
3149901180,3.56,&gt;= 60 Tahun,2018,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
3149901190,3.66,&gt;= 60 Tahun,2019,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
3149901200,3.82,&gt;= 60 Tahun,2020,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
3149901210,3.87,&gt;= 60 Tahun,2021,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
3149901220,3.93,&gt;= 60 Tahun,2022,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
4149901120,3.55,Total,2012,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
4149901130,3.63,Total,2013,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
4149901140,3.61,Total,2014,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
4149901150,3.59,Total,2015,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
4149901170,3.71,Total,2017,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
4149901180,3.66,Total,2018,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
4149901190,3.7,Total,2019,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
4149901200,3.84,Total,2020,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
4149901210,3.88,Total,2021,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
4149901220,3.93,Total,2022,Indeks Perilaku Anti Korupsi (IPAK) Menurut Kelompok Umur
