id,values,aspek,tahun,data_title
1216401210,47.13,"Terjaminnya kebebasan berkumpul, berserikat, berekspresi, dan berpendapat oleh aparat negara",2021,[Metode Baru] Indikator Indeks Demokrasi Indonesia (IDI) tingkat Pusat
3216401210,100.0,Terjaminnya kebebasan berkeyakinan,2021,[Metode Baru] Indikator Indeks Demokrasi Indonesia (IDI) tingkat Pusat
4216401210,89.66,"Terjaminnya kebebasan berkumpul, berserikat, berekspresi, berpendapat, dan berkeyakinan dalam setiap kebijakan",2021,[Metode Baru] Indikator Indeks Demokrasi Indonesia (IDI) tingkat Pusat
7216401210,72.11,Pers yang bebas dalam menjalankan tugas dan fungsinya,2021,[Metode Baru] Indikator Indeks Demokrasi Indonesia (IDI) tingkat Pusat
8216401210,100.0,Kesetaraan gender,2021,[Metode Baru] Indikator Indeks Demokrasi Indonesia (IDI) tingkat Pusat
9216401210,76.1,Partisipasi masyarakat dalam memengaruhi kebijakan publik melalui lembaga perwakilan,2021,[Metode Baru] Indikator Indeks Demokrasi Indonesia (IDI) tingkat Pusat
13216401210,69.84,Akses masyarakat terhadap informasi publik,2021,[Metode Baru] Indikator Indeks Demokrasi Indonesia (IDI) tingkat Pusat
15216401210,33.33,Kinerja lembaga legislatif,2021,[Metode Baru] Indikator Indeks Demokrasi Indonesia (IDI) tingkat Pusat
16216401210,99.1,Kinerja lembaga yudikatif,2021,[Metode Baru] Indikator Indeks Demokrasi Indonesia (IDI) tingkat Pusat
17216401210,91.67,Netralitas penyelenggara pemilu,2021,[Metode Baru] Indikator Indeks Demokrasi Indonesia (IDI) tingkat Pusat
18216401210,81.03,Putusan Pengadilan Tata Usaha Negara (PTUN) terkait kebijakan pejabat pemerintah,2021,[Metode Baru] Indikator Indeks Demokrasi Indonesia (IDI) tingkat Pusat
20216401210,100.0,Transparansi anggaran dalam bentuk penyediaan informasi APBN/D oleh pemerintah,2021,[Metode Baru] Indikator Indeks Demokrasi Indonesia (IDI) tingkat Pusat
21216401210,80.0,Kinerja birokrasi dalam pelayanan publik,2021,[Metode Baru] Indikator Indeks Demokrasi Indonesia (IDI) tingkat Pusat
22216401210,100.0,Pendidikan politik pada kader partai politik,2021,[Metode Baru] Indikator Indeks Demokrasi Indonesia (IDI) tingkat Pusat
