id,values,dimensi,tahun,jenis_kelamin,data_title
15951891120,3.68,Indeks Persepsi,2012,Perkotaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
15951891130,3.78,Indeks Persepsi,2013,Perkotaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
15951891140,3.83,Indeks Persepsi,2014,Perkotaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
15951891150,3.85,Indeks Persepsi,2015,Perkotaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
15951901120,3.64,Indeks Persepsi,2012,Perdesaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
15951901130,3.6,Indeks Persepsi,2013,Perdesaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
15951901140,3.58,Indeks Persepsi,2014,Perdesaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
15951901150,3.52,Indeks Persepsi,2015,Perdesaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
15951911120,3.54,Indeks Persepsi,2012,Perkotaan+Perdesaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
15951911130,3.66,Indeks Persepsi,2013,Perkotaan+Perdesaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
15951911140,3.71,Indeks Persepsi,2014,Perkotaan+Perdesaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
15951911150,3.73,Indeks Persepsi,2015,Perkotaan+Perdesaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
25951891120,3.43,Indeks Pengalaman,2012,Perkotaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
25951891130,3.54,Indeks Pengalaman,2013,Perkotaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
25951891140,3.59,Indeks Pengalaman,2014,Perkotaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
25951891150,3.61,Indeks Pengalaman,2015,Perkotaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
25951901120,3.52,Indeks Pengalaman,2012,Perdesaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
25951901130,3.57,Indeks Pengalaman,2013,Perdesaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
25951901140,3.4,Indeks Pengalaman,2014,Perdesaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
25951901150,3.27,Indeks Pengalaman,2015,Perdesaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
25951911120,3.58,Indeks Pengalaman,2012,Perkotaan+Perdesaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
25951911130,3.58,Indeks Pengalaman,2013,Perkotaan+Perdesaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
25951911140,3.49,Indeks Pengalaman,2014,Perkotaan+Perdesaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
25951911150,3.39,Indeks Pengalaman,2015,Perkotaan+Perdesaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
35951891120,3.66,IPAK,2012,Perkotaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
35951891130,3.71,IPAK,2013,Perkotaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
35951891140,3.71,IPAK,2014,Perkotaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
35951891150,3.71,IPAK,2015,Perkotaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
35951901120,3.46,IPAK,2012,Perdesaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
35951901130,3.55,IPAK,2013,Perdesaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
35951901140,3.51,IPAK,2014,Perdesaan,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Daerah Tempat Tinggal
