id,values,provinsi,tahun,aspek,data_title
99995997811090,86.97,INDONESIA,2009,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997811100,82.53,INDONESIA,2010,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997811110,80.79,INDONESIA,2011,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997811120,77.94,INDONESIA,2012,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997811130,79.0,INDONESIA,2013,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997811140,82.62,INDONESIA,2014,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997811150,80.3,INDONESIA,2015,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997811160,76.45,INDONESIA,2016,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997811170,78.75,INDONESIA,2017,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997811180,78.46,INDONESIA,2018,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997811190,77.2,INDONESIA,2019,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997811200,79.4,INDONESIA,2020,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997821090,54.6,INDONESIA,2009,Aspek Hak-Hak Politik,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997821100,47.87,INDONESIA,2010,Aspek Hak-Hak Politik,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997821110,47.54,INDONESIA,2011,Aspek Hak-Hak Politik,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997821120,46.33,INDONESIA,2012,Aspek Hak-Hak Politik,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997821130,46.25,INDONESIA,2013,Aspek Hak-Hak Politik,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997821140,63.72,INDONESIA,2014,Aspek Hak-Hak Politik,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997821150,70.63,INDONESIA,2015,Aspek Hak-Hak Politik,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997821160,70.11,INDONESIA,2016,Aspek Hak-Hak Politik,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997821170,66.63,INDONESIA,2017,Aspek Hak-Hak Politik,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997821180,65.79,INDONESIA,2018,Aspek Hak-Hak Politik,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997821190,70.71,INDONESIA,2019,Aspek Hak-Hak Politik,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997821200,67.85,INDONESIA,2020,Aspek Hak-Hak Politik,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997831090,62.72,INDONESIA,2009,Aspek Lembaga Demokrasi,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997831100,63.11,INDONESIA,2010,Aspek Lembaga Demokrasi,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997831110,74.72,INDONESIA,2011,Aspek Lembaga Demokrasi,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997831120,69.28,INDONESIA,2012,Aspek Lembaga Demokrasi,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997831130,72.24,INDONESIA,2013,Aspek Lembaga Demokrasi,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997831140,75.81,INDONESIA,2014,Aspek Lembaga Demokrasi,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997831150,66.87,INDONESIA,2015,Aspek Lembaga Demokrasi,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997831160,62.05,INDONESIA,2016,Aspek Lembaga Demokrasi,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997831170,72.49,INDONESIA,2017,Aspek Lembaga Demokrasi,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997831180,75.25,INDONESIA,2018,Aspek Lembaga Demokrasi,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997831190,78.73,INDONESIA,2019,Aspek Lembaga Demokrasi,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
99995997831200,75.66,INDONESIA,2020,Aspek Lembaga Demokrasi,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
11005997811090,64.42,ACEH,2009,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
11005997811100,69.98,ACEH,2010,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
11005997811110,58.65,ACEH,2011,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
11005997811120,60.16,ACEH,2012,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
11005997811130,71.78,ACEH,2013,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
11005997811140,69.76,ACEH,2014,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
11005997811150,74.81,ACEH,2015,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
11005997811160,92.92,ACEH,2016,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
11005997811170,87.27,ACEH,2017,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
11005997811180,96.79,ACEH,2018,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
11005997811190,93.28,ACEH,2019,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
11005997811200,84.49,ACEH,2020,Aspek Kebebasan Sipil,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
11005997821090,70.39,ACEH,2009,Aspek Hak-Hak Politik,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
11005997821100,62.63,ACEH,2010,Aspek Hak-Hak Politik,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
11005997821110,47.9,ACEH,2011,Aspek Hak-Hak Politik,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
11005997821120,47.16,ACEH,2012,Aspek Hak-Hak Politik,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
11005997821130,48.59,ACEH,2013,Aspek Hak-Hak Politik,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
11005997821140,63.94,ACEH,2014,Aspek Hak-Hak Politik,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
11005997821150,63.98,ACEH,2015,Aspek Hak-Hak Politik,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
11005997821160,63.94,ACEH,2016,Aspek Hak-Hak Politik,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
11005997821170,63.94,ACEH,2017,Aspek Hak-Hak Politik,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
11005997821180,68.09,ACEH,2018,Aspek Hak-Hak Politik,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
11005997821190,65.22,ACEH,2019,Aspek Hak-Hak Politik,Indeks Demokrasi Indonesia (IDI) Menurut Aspek dan Provinsi
