id,values,provinsi,aspek,data_title
99996027841140,69.72,INDONESIA,Kesehatan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
99996027851140,58.28,INDONESIA,Pendidikan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
99996027861140,78.89,INDONESIA,Keharmonisan Keluarga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
99996027871140,71.74,INDONESIA,Ketersediaan Waktu Luang,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
99996027881140,74.29,INDONESIA,Hubungan Sosial,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
99996027891140,74.86,INDONESIA,Keadaan  Lingkungan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
99996027901140,76.63,INDONESIA,Kondisi Keamanan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
99996027911140,67.08,INDONESIA,Pekerjaan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
99996027921140,63.09,INDONESIA,Pendapatan Rumah Tangga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
99996027931140,65.01,INDONESIA,Kondisi Rumah dan Aset,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
11006027841140,68.56,ACEH,Kesehatan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
11006027851140,59.28,ACEH,Pendidikan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
11006027861140,79.0,ACEH,Keharmonisan Keluarga,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
11006027871140,71.8,ACEH,Ketersediaan Waktu Luang,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
11006027881140,74.65,ACEH,Hubungan Sosial,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
11006027891140,73.23,ACEH,Keadaan  Lingkungan,Tingkat Kepuasaan Hidup Terhadap Sepuluh Aspek Kehidupan Menurut Provinsi
