id,values,kelompok_umur,tahun,data_title
161701130,61.8,Hingga Rp 1.800.000,2013,Indeks Kebahagiaan Menurut Pendapatan Rumah Tangga
161701140,64.58,Hingga Rp 1.800.000,2014,Indeks Kebahagiaan Menurut Pendapatan Rumah Tangga
161701170,66.87,Hingga Rp 1.800.000,2017,Indeks Kebahagiaan Menurut Pendapatan Rumah Tangga
161701210,67.99,Hingga Rp 1.800.000,2021,Indeks Kebahagiaan Menurut Pendapatan Rumah Tangga
261701130,67.07,Rp 1.800.001 - Rp 3.000.000,2013,Indeks Kebahagiaan Menurut Pendapatan Rumah Tangga
261701140,68.76,Rp 1.800.001 - Rp 3.000.000,2014,Indeks Kebahagiaan Menurut Pendapatan Rumah Tangga
261701170,70.11,Rp 1.800.001 - Rp 3.000.000,2017,Indeks Kebahagiaan Menurut Pendapatan Rumah Tangga
261701210,70.8,Rp 1.800.001 - Rp 3.000.000,2021,Indeks Kebahagiaan Menurut Pendapatan Rumah Tangga
361701130,70.34,Rp 3.000.001 - Rp 4.800.000,2013,Indeks Kebahagiaan Menurut Pendapatan Rumah Tangga
361701140,71.86,Rp 3.000.001 - Rp 4.800.000,2014,Indeks Kebahagiaan Menurut Pendapatan Rumah Tangga
361701170,72.34,Rp 3.000.001 - Rp 4.800.000,2017,Indeks Kebahagiaan Menurut Pendapatan Rumah Tangga
361701210,72.92,Rp 3.000.001 - Rp 4.800.000,2021,Indeks Kebahagiaan Menurut Pendapatan Rumah Tangga
461701130,72.37,Rp 4.800.001 - Rp 7.200.000,2013,Indeks Kebahagiaan Menurut Pendapatan Rumah Tangga
461701140,74.64,Rp 4.800.001 - Rp 7.200.000,2014,Indeks Kebahagiaan Menurut Pendapatan Rumah Tangga
461701170,74.23,Rp 4.800.001 - Rp 7.200.000,2017,Indeks Kebahagiaan Menurut Pendapatan Rumah Tangga
461701210,74.99,Rp 4.800.001 - Rp 7.200.000,2021,Indeks Kebahagiaan Menurut Pendapatan Rumah Tangga
561701130,74.64,Lebih dari Rp 7.200.000,2013,Indeks Kebahagiaan Menurut Pendapatan Rumah Tangga
561701140,76.34,Lebih dari Rp 7.200.000,2014,Indeks Kebahagiaan Menurut Pendapatan Rumah Tangga
561701170,76.62,Lebih dari Rp 7.200.000,2017,Indeks Kebahagiaan Menurut Pendapatan Rumah Tangga
561701210,77.15,Lebih dari Rp 7.200.000,2021,Indeks Kebahagiaan Menurut Pendapatan Rumah Tangga
