id,values,provinsi,tahun,dimensi,data_title
99996288071170,75.06,INDONESIA,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
99996288071210,77.64,INDONESIA,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
99996288081170,64.33,INDONESIA,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
99996288081210,57.91,INDONESIA,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
99996288091170,68.31,INDONESIA,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
99996288091210,64.87,INDONESIA,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
99996288101170,68.59,INDONESIA,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
99996288101210,65.61,INDONESIA,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
11006288071170,74.8,ACEH,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
11006288071210,77.45,ACEH,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
11006288081170,64.33,ACEH,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
11006288081210,55.26,ACEH,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
11006288091170,68.41,ACEH,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
11006288091210,62.64,ACEH,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
11006288101170,68.56,ACEH,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
11006288101210,63.75,ACEH,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
12006288071170,73.57,SUMATERA UTARA,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
12006288071210,77.13,SUMATERA UTARA,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
12006288081170,59.16,SUMATERA UTARA,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
12006288081210,55.14,SUMATERA UTARA,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
12006288091170,64.16,SUMATERA UTARA,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
12006288091210,64.01,SUMATERA UTARA,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
12006288101170,64.75,SUMATERA UTARA,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
12006288101210,64.14,SUMATERA UTARA,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
13006288071170,76.78,SUMATERA BARAT,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
13006288071210,77.6,SUMATERA BARAT,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
13006288081170,65.11,SUMATERA BARAT,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
13006288081210,57.7,SUMATERA BARAT,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
13006288091170,70.67,SUMATERA BARAT,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
13006288091210,65.47,SUMATERA BARAT,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
13006288101170,70.21,SUMATERA BARAT,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
13006288101210,65.75,SUMATERA BARAT,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
14006288071170,76.6,RIAU,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
14006288071210,78.78,RIAU,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
14006288081170,65.75,RIAU,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
14006288081210,55.89,RIAU,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
14006288091170,70.26,RIAU,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
14006288091210,65.42,RIAU,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
14006288101170,70.24,RIAU,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
14006288101210,65.36,RIAU,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
15006288071170,74.16,JAMBI,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
15006288071210,79.89,JAMBI,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
15006288081170,64.66,JAMBI,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
15006288081210,68.78,JAMBI,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
15006288091170,68.52,JAMBI,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
15006288091210,72.78,JAMBI,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
15006288101170,68.56,JAMBI,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
15006288101210,73.15,JAMBI,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
16006288071170,76.37,SUMATERA SELATAN,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
16006288071210,79.11,SUMATERA SELATAN,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
16006288081170,66.61,SUMATERA SELATAN,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
16006288081210,58.77,SUMATERA SELATAN,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
16006288091170,70.57,SUMATERA SELATAN,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
16006288091210,67.16,SUMATERA SELATAN,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
16006288101170,70.61,SUMATERA SELATAN,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
16006288101210,67.16,SUMATERA SELATAN,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
17006288071170,75.62,BENGKULU,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
17006288071210,75.92,BENGKULU,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
17006288081170,63.85,BENGKULU,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
17006288081210,59.37,BENGKULU,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
17006288091170,68.22,BENGKULU,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
17006288091210,65.06,BENGKULU,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
17006288101170,68.52,BENGKULU,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
17006288101210,65.77,BENGKULU,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
18006288071170,74.01,LAMPUNG,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
18006288071210,78.4,LAMPUNG,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
18006288081170,63.39,LAMPUNG,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
18006288081210,57.83,LAMPUNG,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
18006288091170,66.86,LAMPUNG,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
18006288091210,64.22,LAMPUNG,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
18006288101170,67.43,LAMPUNG,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
18006288101210,65.53,LAMPUNG,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
19006288071170,77.88,KEP. BANGKA BELITUNG,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
19006288071210,80.0,KEP. BANGKA BELITUNG,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
19006288081170,64.02,KEP. BANGKA BELITUNG,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
19006288081210,63.6,KEP. BANGKA BELITUNG,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
19006288091170,68.65,KEP. BANGKA BELITUNG,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
19006288091210,69.73,KEP. BANGKA BELITUNG,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
19006288101170,69.33,KEP. BANGKA BELITUNG,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
19006288101210,70.13,KEP. BANGKA BELITUNG,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
21006288071170,78.51,KEP. RIAU,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
21006288071210,81.55,KEP. RIAU,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
21006288081170,63.89,KEP. RIAU,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
21006288081210,60.53,KEP. RIAU,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
21006288091170,67.75,KEP. RIAU,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
21006288091210,69.79,KEP. RIAU,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
21006288101170,69.11,KEP. RIAU,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
21006288101210,69.42,KEP. RIAU,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
31006288071170,77.02,DKI JAKARTA,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
31006288071210,77.78,DKI JAKARTA,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
31006288081170,62.94,DKI JAKARTA,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
31006288081210,53.81,DKI JAKARTA,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
31006288091170,66.9,DKI JAKARTA,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
31006288091210,60.13,DKI JAKARTA,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
31006288101170,68.06,DKI JAKARTA,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
31006288101210,62.37,DKI JAKARTA,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
32006288071170,73.68,JAWA BARAT,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
32006288071210,76.06,JAWA BARAT,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
32006288081170,62.5,JAWA BARAT,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
32006288081210,54.68,JAWA BARAT,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
32006288091170,66.35,JAWA BARAT,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
32006288091210,62.71,JAWA BARAT,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
32006288101170,66.83,JAWA BARAT,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
32006288101210,63.21,JAWA BARAT,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
33006288071170,74.52,JAWA TENGAH,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
33006288071210,77.48,JAWA TENGAH,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
33006288081170,67.13,JAWA TENGAH,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
33006288081210,61.85,JAWA TENGAH,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
33006288091170,70.9,JAWA TENGAH,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
33006288091210,67.59,JAWA TENGAH,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
33006288101170,70.45,JAWA TENGAH,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
33006288101210,68.03,JAWA TENGAH,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
34006288071170,76.79,DI YOGYAKARTA,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
34006288071210,78.05,DI YOGYAKARTA,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
34006288081170,70.54,DI YOGYAKARTA,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
34006288081210,61.24,DI YOGYAKARTA,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
34006288091170,73.83,DI YOGYAKARTA,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
34006288091210,65.79,DI YOGYAKARTA,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
34006288101170,73.38,DI YOGYAKARTA,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
